accession_code,ProstT5_64_dim_0,ProstT5_64_dim_1,ProstT5_64_dim_2,ProstT5_64_dim_3,ProstT5_64_dim_4,ProstT5_64_dim_5,ProstT5_64_dim_6,ProstT5_64_dim_7,ProstT5_64_dim_8,ProstT5_64_dim_9,ProstT5_64_dim_10,ProstT5_64_dim_11,ProstT5_64_dim_12,ProstT5_64_dim_13,ProstT5_64_dim_14,ProstT5_64_dim_15,ProstT5_64_dim_16,ProstT5_64_dim_17,ProstT5_64_dim_18,ProstT5_64_dim_19,ProstT5_64_dim_20,ProstT5_64_dim_21,ProstT5_64_dim_22,ProstT5_64_dim_23,ProstT5_64_dim_24,ProstT5_64_dim_25,ProstT5_64_dim_26,ProstT5_64_dim_27,ProstT5_64_dim_28,ProstT5_64_dim_29,ProstT5_64_dim_30,ProstT5_64_dim_31,ProstT5_64_dim_32,ProstT5_64_dim_33,ProstT5_64_dim_34,ProstT5_64_dim_35,ProstT5_64_dim_36,ProstT5_64_dim_37,ProstT5_64_dim_38,ProstT5_64_dim_39,ProstT5_64_dim_40,ProstT5_64_dim_41,ProstT5_64_dim_42,ProstT5_64_dim_43,ProstT5_64_dim_44,ProstT5_64_dim_45,ProstT5_64_dim_46,ProstT5_64_dim_47,ProstT5_64_dim_48,ProstT5_64_dim_49,ProstT5_64_dim_50,ProstT5_64_dim_51,ProstT5_64_dim_52,ProstT5_64_dim_53,ProstT5_64_dim_54,ProstT5_64_dim_55,ProstT5_64_dim_56,ProstT5_64_dim_57,ProstT5_64_dim_58,ProstT5_64_dim_59,ProstT5_64_dim_60,ProstT5_64_dim_61,ProstT5_64_dim_62,ProstT5_64_dim_63
A8I4E9,-0.23574936,0.01074467,-0.10086541,-0.14587817,0.0029461011,0.19658071,-0.04651165,-0.14058717,-0.14510472,0.33212236,-0.145303,0.04121095,0.10090411,0.08061489,0.13911363,-0.062521815,-0.20969592,-0.09854347,0.042041708,0.14898343,0.08423206,-0.14820953,0.016899705,-0.042200886,0.1370658,-0.04002826,-0.18943524,-0.0817347,-0.001007963,0.32414824,0.14947507,0.3616746,-0.22863056,-0.1754379,0.12360768,0.030113567,0.048335068,0.033463445,-0.18696082,0.11231834,0.42752597,0.06326007,-0.22097586,-0.034375288,0.22867014,0.10000549,0.101581775,0.02114559,0.1002935,0.076431416,0.14300169,0.11699156,0.23488548,-0.09668381,-0.057430215,-0.14999725,-0.049704053,0.15021434,-0.052179698,-0.050886262,-0.11947194,-0.18115537,-0.1373055,0.19713394
Q92890,-0.023479877,-0.008568821,0.16054195,0.039106682,0.14999871,0.14400947,-0.23906933,0.10058006,0.02101026,0.071105726,0.06710842,0.10897927,0.049558822,0.18277809,0.08696098,-0.12376505,0.13710505,-0.16240865,-0.09094752,-0.021044806,0.032291695,-0.026840925,-0.0016306943,-0.11345663,-0.1500575,-0.043847263,-0.049241863,-0.014897216,0.22756915,-0.008041919,0.010815779,0.0035492876,-0.09397667,-0.04675244,0.028948076,-0.06552862,-0.026546624,0.020953808,0.12598874,0.011540278,0.07816586,-0.0015241168,0.06670444,-0.027902162,-0.07998872,0.06843478,-0.044908546,-0.101877,0.21724303,-0.062428977,-0.21973608,-0.16547851,-0.12506238,0.009563688,0.027928509,-0.0122117475,-0.08072677,-0.04984945,-0.069029644,0.03267867,-0.0871823,0.09421772,-0.19584851,-0.11731305
P0DTD2,0.2839764,0.059713032,0.06861745,-0.35679102,-0.05878702,-0.053999342,0.13284948,0.07924809,0.15699172,-0.06824459,-0.23079623,-0.19532868,0.12023973,-0.09234122,-0.0707071,-0.31593,-0.10233188,-0.07036597,0.10878654,-0.07393436,-0.36616653,-0.21694483,0.1324676,0.053028017,0.17226404,-0.06522892,0.33257154,-0.07530199,-0.5194194,-0.39667127,-0.15135461,-0.0063520386,0.019387487,0.036087792,0.064477,0.030967873,-0.20655927,-0.23647033,-0.019132882,0.048171498,0.13858208,-0.12426882,0.10837027,-0.010918569,0.12652086,0.066281945,-0.112371035,-0.06744496,-0.07149492,0.08100087,-0.09505083,-0.12025169,0.09297848,0.06950502,-0.010025628,0.2807657,0.0016858578,0.14487725,0.09145734,-0.006834708,0.010249371,0.1119825,-0.16932821,-0.13845211
O62479,-0.1707614,-0.0052281814,-0.017899118,-0.13910025,-0.09011446,-0.014556766,0.011753306,-0.18278691,-0.2917087,-0.06639164,-0.16359347,0.041456074,0.18092847,0.013764266,0.1129025,0.09600429,-0.14215715,-0.006833628,0.1483343,0.21721162,0.06549907,-0.13167346,0.18848675,-0.042295948,-0.04694492,-0.058277033,-0.23047125,0.022085145,-0.06793183,0.120224185,0.033305302,0.062094465,-0.35567537,-0.06512974,0.03387025,0.08186914,0.1296376,-0.06389402,-0.05009155,-0.05443171,0.23236945,-0.058892652,-0.02888615,0.072955996,0.0966768,0.014198076,0.022178775,0.13548136,0.09031822,-0.08799051,0.2967872,0.04998726,0.3535613,-0.1743128,0.019896137,-0.12180038,-0.1062544,0.15841514,-0.00026439503,-0.026377998,-0.101611204,-0.06626843,-0.27789786,0.07514666
P47017,0.05066566,0.04764208,-0.026877582,-0.14558214,0.0029795729,0.15894812,-0.06620781,-0.2578143,0.16955344,0.14960065,0.00070443563,-0.035425793,-0.03355354,0.10408541,0.05089128,-0.28728,-0.2622642,0.107626356,-0.022070598,0.07368315,-0.042290222,0.016651865,0.06586608,-0.10849161,-0.023098232,0.0034201667,-0.054280274,-0.015776213,0.019249994,-0.107888274,0.1791074,-0.012892264,-0.18399318,0.033559196,0.019867346,-0.08018573,-0.09874571,-0.04531228,-0.026361912,0.052925367,0.10736197,-0.02739917,0.16029382,-0.0135372095,0.18792939,0.18501665,-0.19317433,0.011318557,0.119095966,0.2120435,-0.15298143,0.037413754,-0.025353901,0.11674199,-0.0024989918,-0.09539631,-0.03548867,0.06435679,-0.081278056,-0.2105918,-0.13063416,0.0697483,0.014638938,-0.055934228
P00812,-0.05283869,0.027299415,-0.055207156,-0.17849031,-0.0060397685,-0.014231421,0.05605904,0.10921297,0.052930117,-0.03887988,0.035813212,0.088759035,0.06230692,-0.14314973,0.10765493,-0.021587625,-0.13149783,0.04935638,0.17070237,-9.973347e-05,-0.00926638,0.042050876,0.24351163,0.0012866389,-0.14496294,0.0916486,0.32239434,0.0025481582,0.10002066,-0.34366307,0.02629256,0.07579742,-0.21957745,-0.066238865,-0.02238819,-0.0674963,0.07862332,0.024514925,0.09209193,-0.094147086,-0.03753937,-0.0066589136,0.021474682,0.03376595,-0.13128284,-0.00087222457,-0.02336011,0.30560303,-0.10861382,-0.08815861,0.052498307,-0.098150544,-0.110143594,0.0935838,0.16662747,-0.08011857,0.07757818,-0.053079545,-0.08307184,-0.21852371,-0.1030017,0.020304985,0.0018144026,-0.039713025
Q28399,0.039948255,-0.0112343235,0.080017164,-0.13261832,0.05035906,-0.023640983,0.18902807,0.010226074,0.2616958,-0.13939494,0.15278946,0.037991125,0.009256467,-0.030477215,-0.011324972,0.036001578,0.18257433,0.08891275,0.2667106,0.086040914,0.25756952,0.0625334,-0.118034616,-0.045667503,0.00040716305,0.059277005,0.29764956,-0.067579225,0.20976952,-0.24574532,0.2182716,-0.012954119,-0.08796863,0.054153007,-0.21713032,-0.018288232,0.2105713,-0.034983087,0.059527785,0.02221741,-0.010813601,0.08859264,0.066336066,-0.038372748,-0.27818245,-0.0932032,-0.01947838,0.14881188,-0.1371879,-0.13001303,0.18331434,-0.20519987,0.092635944,-0.06932032,0.19704174,-0.30311683,0.00025318563,0.031352356,0.07838546,-0.193524,-0.044207543,0.03744878,0.20291138,0.023165552
P36969,0.027916921,0.02610407,0.043824438,-0.1250148,0.057828933,0.07691591,0.28683847,0.030166183,0.11626467,-0.102482185,-0.061240464,-0.1055987,-0.07141403,-0.22489668,0.11222211,-0.028269,0.0126809105,0.023515813,0.010931063,-0.18520151,-0.17561284,0.113874845,-0.048015386,0.027532129,-0.119159676,0.05765576,0.118052304,-0.09424811,0.220708,-0.20406759,-0.0030883383,-0.10280294,0.0999347,0.08632852,-0.030490302,-0.010897249,-0.094605625,-0.06619638,0.052182734,0.02334727,-0.047372706,0.08273755,-0.023316808,0.00038967282,-0.09885168,-0.048343837,0.09318036,0.023159549,-0.24763739,-0.061102472,-0.19216484,-0.13093543,-0.018039264,-0.0023596399,0.09150684,-0.025118046,0.14790979,-0.028147452,-0.10559124,-0.10108878,0.08613396,0.116072446,0.1450108,-0.008357072
P09041,-0.18785323,-0.11160248,0.10158092,-0.28224093,0.08822024,0.22978154,-0.08214049,0.060370516,0.29237607,-0.055215698,-0.041592248,-0.03347053,-0.038947754,-0.04733349,0.102604754,0.13111839,0.085939065,-0.056809723,0.029414874,0.073654726,0.024178198,0.054801226,-0.024334878,-0.016598582,-0.08778707,-0.0077418163,0.27342996,0.028941333,0.32471478,-0.2662098,0.07851562,-0.10562657,-0.16276819,-0.020000465,-0.0242293,-0.06565265,0.0047262325,0.011754904,0.13972121,-0.06542917,0.024320982,0.10013355,-0.048025284,0.09698472,-0.44060123,0.08090523,0.010160197,-0.118651874,-0.09763498,-0.14961573,0.22391763,-0.15689853,0.049839173,0.0145359,0.12039658,-0.21345554,0.060967468,0.07529901,-0.10715398,-0.1262908,-0.12602092,0.16794151,0.18499985,0.18543816
A0A0H2US80,0.049976513,-0.01826943,0.067380965,-0.29776043,0.03076602,0.046834573,0.06261706,0.12236784,0.2098028,-0.1745516,0.087429345,0.010154255,-0.041899078,0.05926489,0.10665828,-0.16084671,0.17596334,-0.07447958,0.17776197,0.028798677,0.23823415,-0.16282262,0.025472898,0.083436266,0.07570514,0.11671708,0.37416187,0.012057595,0.21955799,-0.33097148,0.076857895,-0.10131988,-0.13387434,-0.060129374,-0.16401327,-0.16167524,0.099097684,0.035310384,0.03600066,0.0667925,0.004978046,-0.0067988914,0.058132052,-0.09739819,-0.26689568,0.042258162,-0.027462602,0.16085702,-0.10650729,-0.13724843,0.12513758,-0.14661992,0.23521566,0.0134005025,0.24018046,-0.13539633,-0.030191287,0.081167035,-0.19130118,-0.15402466,-0.056651957,0.09126929,0.1826694,-0.0131524
O09061,-0.015927909,-0.07169273,-0.108162,-0.029396858,0.058937017,0.07283998,0.041088644,-0.14796008,0.14594959,-0.07316066,0.03529145,0.02455609,0.06948046,-0.017271817,0.05476372,-0.12099577,0.0094060935,-0.0068184324,0.020557798,0.03753659,-0.14334212,0.17663312,0.054176707,-0.13842413,0.010032278,0.048215933,0.11484767,0.053104237,0.20745179,-0.26431698,0.19295013,0.0002774453,-0.094366446,0.037393566,-0.13965358,-0.13209909,-0.016644975,-0.038858004,0.062397253,-0.054975342,0.09825908,0.0035236832,0.21085271,0.035778366,-0.0036744177,0.083122335,-0.061648212,0.19310614,-0.0032992885,0.06666627,0.027202576,-0.031582355,-0.13651404,0.041832402,0.066838026,-0.19594444,0.045052253,-0.04733914,-0.007534571,-0.095911145,-0.0036184695,0.1608901,0.0097032115,-0.0323025
Q9GZM8,-0.14048553,-0.023987915,-0.023023427,-0.083124906,0.020032972,0.0072562844,0.07165019,-0.20810284,-0.29439628,0.0758553,-0.13592918,0.060619883,0.26373303,0.086966015,0.19426137,-0.09366681,-0.16333778,-0.14516684,0.2168587,0.31706178,0.12211782,-0.12739599,-0.054115262,-0.018110415,0.0765468,-0.1389812,-0.23445275,0.0050736666,0.04006995,0.36643717,0.08539069,0.37215796,-0.23470235,-0.09611024,-0.008816414,0.14373195,0.1520257,-0.12235576,-0.17683008,-0.020589015,0.18746409,-0.048090685,-0.09475908,0.043959327,0.111499645,-0.011376612,0.13874403,0.015619066,0.093290955,-0.13866648,0.28001684,0.1293966,0.35546786,-0.24941292,-0.09308833,-0.077046126,-0.03238316,0.20492646,0.033808783,-0.09769145,-0.018046016,-0.09767668,-0.22836426,0.014940457
P0ABV6,0.1673871,0.031165306,-0.16905417,-0.060549416,-0.115218475,-0.03287915,0.23357435,0.17921598,0.29205403,0.10125802,0.058882147,0.12391257,0.13720584,0.07195882,0.026678577,-0.24363288,0.064692855,0.0027271137,-0.013861019,-0.07192889,-0.10760178,0.012360991,-0.22630712,-0.076478936,0.055996172,-0.030885197,0.050448358,-0.12050725,0.039555695,0.11434627,-0.1326251,0.16250014,0.033523906,-0.090326816,0.048722804,0.076202355,-0.105217844,0.004909415,0.055376,-0.032001037,0.1017001,0.008223953,0.12570238,-0.08943391,-0.10512182,-0.122675255,0.009352267,0.27952865,-0.021799225,0.114399396,-0.40922982,-0.058110204,0.022593081,-0.07392423,0.0054062605,0.2277791,-0.0013185889,0.16488644,-0.12193321,-0.0575006,-0.04271444,-0.028653175,-0.104748085,-0.109436475
P01225,0.12203832,0.21129535,0.11200507,-0.34543723,0.0939789,-0.08451264,-0.0045230016,-0.11390007,0.2740234,-0.03658919,0.14945585,0.16609241,0.08141037,-0.02585157,-0.12334266,-0.3172429,0.12615319,-0.062313396,-0.033018555,-0.031402223,-0.0873864,-0.00668775,-0.032535475,0.010398662,0.087038435,0.14205158,0.22086838,-0.30473274,0.12461668,-0.032379314,0.09136805,-0.1207393,-0.124626964,0.17554101,-0.09918323,0.17129865,-0.22711176,-0.08511307,-0.040983714,0.19842178,0.16263968,0.07284813,0.4136402,-0.14066362,0.23766522,-0.09942989,-0.21658158,0.12411037,0.16721359,0.021672003,-0.34512734,0.051401038,-0.0060652792,-0.4138747,-0.0066960864,-0.07227618,-0.13987535,-0.20128146,0.062208667,-0.008850917,-0.058967948,0.18219104,0.110425256,-0.008842345
A2ABV5,-0.20798628,0.07990047,-0.16046673,-0.20235428,-0.11125636,0.10262634,0.09766649,0.022721358,-0.020766884,0.07770183,-0.09822619,0.029199928,0.08020297,-0.044895887,-0.04863651,-0.004187733,-0.13442801,-0.039545745,-0.11134741,-0.00044701248,-0.07663517,0.016746372,0.039141517,-0.06333943,-0.053256545,-0.06480737,0.1268206,-0.11502865,-0.012847425,-0.052292883,0.03977431,0.12375216,-0.09195759,-0.08753134,0.13766341,-0.04959768,-0.0010651699,-0.0338892,-0.016841426,0.07222008,0.30242908,-0.028685523,0.18436857,-0.07763767,0.14038576,0.078417376,-0.029612042,0.08766553,0.11176272,0.015559986,-0.00077934563,-0.031209547,-0.083943225,0.09876125,0.1154208,-0.24542546,-0.0393077,-0.02086015,0.03255362,0.07667763,0.0334976,-0.11537275,-0.20833859,0.05356627
O55164,0.21821693,-0.03300845,0.084988356,0.0757833,0.056420695,-0.09473529,0.18412548,-0.06743963,-0.2891636,-0.021346394,0.044604957,-0.04872198,-0.112325944,0.018913157,-0.012428418,-0.043144293,0.12000856,-0.011831507,-0.08113517,-0.07847448,-0.12702942,-0.049098562,0.1221149,-0.050813332,-0.11912034,0.0469561,-0.1491706,0.08027555,0.07988848,-0.1441724,0.053962,-0.00028473453,-0.0022271983,-0.04448062,0.009666875,-0.12406883,0.17642902,0.048694376,0.008366726,0.083252355,-0.04985688,0.041492984,-0.09141525,-0.059568588,0.058054686,-0.042290784,0.064965904,0.09725848,-0.018925395,0.0130432695,-0.07112639,-0.16384536,-0.015513122,0.17621607,0.014691301,0.020447768,0.0017463937,0.041162122,-0.04388951,-0.02210727,0.057898447,-0.120014876,-0.13065721,0.043633528
Q8IXK0,-0.001366755,-0.068812795,0.21033448,0.4127081,-0.039505042,-0.1939233,0.32952398,0.13848533,-0.5170593,-0.035244897,-0.2294084,0.031063853,-0.06421206,-0.11934046,0.32186633,0.21142364,0.189662,0.023873568,0.09074932,0.17129628,0.0505293,0.092393816,-0.0826036,0.016418016,0.08802285,-0.07141344,-0.027191795,0.23304574,-0.28943327,0.17832458,-0.044958964,-0.013284574,0.090743616,-0.07575163,-0.10008694,0.17376778,0.2948161,-0.068361685,0.3709637,-0.11941555,-0.19329685,0.08571045,-0.10573522,0.049783006,0.04994928,0.010539517,0.20598531,0.026341178,-0.0030950978,-0.23189574,0.48002163,-0.11786281,0.15103859,-0.29529077,0.087265916,0.16875838,0.018066414,-0.016153812,-0.22498822,0.28778732,-0.116693005,-0.035034075,-0.38003165,0.10820232
P04049,0.30294746,-0.0026484402,0.13220504,-0.0045429394,0.0046398677,-0.21067676,0.20493689,0.005210162,-0.2965261,-0.026955493,0.07123034,-0.057055827,-0.13876012,-0.03940447,-0.047427252,-0.05394772,0.0508525,0.049100153,0.054587334,-0.039410174,-0.003029585,-0.06538767,0.14634787,-0.02849064,-0.089486554,0.037137665,-0.09908826,-0.00069937855,0.082009554,-0.18318596,0.03935971,-0.09672282,-0.050323527,0.035883684,-0.019677654,-0.11445674,0.27808917,0.0012422465,0.030789126,0.06546991,-0.16528982,-0.013269169,-0.026570898,-0.07069518,0.1800947,-0.09184137,-0.011786398,-0.028781816,0.01639036,-0.08737384,0.00013719127,-0.21910316,-0.03122688,0.03361833,0.043442793,0.018707775,-0.06360562,-0.10806487,0.0069649573,-0.00068372115,0.055793397,-0.122606635,-0.10884264,-0.04958062
P14859,0.10012355,-0.023920566,0.116563044,0.236154,0.069785446,-0.09634415,0.23878475,-0.02779305,-0.5088369,-0.15791702,-0.12255904,-0.117479324,0.0043025464,-0.019826999,0.14684886,0.09730725,0.16640861,-0.057001583,-0.08958191,0.12597376,-0.040899392,0.025743209,-0.023343269,0.07340619,0.017839886,-0.021388642,-0.13400543,0.21556492,0.023834642,0.2919175,-0.07662669,0.10386537,0.14037177,-0.13904785,-0.027717806,0.019873112,0.16973507,-0.0034379847,-0.012725279,-0.010687505,-0.1548698,0.011737043,-0.07246616,-0.054435246,-0.030111933,0.062855735,0.19177362,-0.068432115,0.074797444,-0.022683375,0.06105921,-0.12576872,0.22276181,0.008183364,-0.04352835,0.19811325,0.010418072,0.052615874,-0.20650426,0.08690784,0.02015437,-0.0028242916,-0.24302265,0.13301511
