accession_code,ProtT5_32_dim_0,ProtT5_32_dim_1,ProtT5_32_dim_2,ProtT5_32_dim_3,ProtT5_32_dim_4,ProtT5_32_dim_5,ProtT5_32_dim_6,ProtT5_32_dim_7,ProtT5_32_dim_8,ProtT5_32_dim_9,ProtT5_32_dim_10,ProtT5_32_dim_11,ProtT5_32_dim_12,ProtT5_32_dim_13,ProtT5_32_dim_14,ProtT5_32_dim_15,ProtT5_32_dim_16,ProtT5_32_dim_17,ProtT5_32_dim_18,ProtT5_32_dim_19,ProtT5_32_dim_20,ProtT5_32_dim_21,ProtT5_32_dim_22,ProtT5_32_dim_23,ProtT5_32_dim_24,ProtT5_32_dim_25,ProtT5_32_dim_26,ProtT5_32_dim_27,ProtT5_32_dim_28,ProtT5_32_dim_29,ProtT5_32_dim_30,ProtT5_32_dim_31
O76095,-0.44046545,-0.3665796,-1.062098,0.4403131,0.96794146,0.81052554,-0.51168364,-0.40701896,0.09224777,-0.05189471,0.4883543,0.34320617,-0.9909287,-0.5024044,0.981966,0.6000657,0.8495349,0.0812281,0.2809918,-0.07140486,0.16872713,-0.5850335,-0.3171668,0.22900203,0.34046635,-0.6580892,-0.5049484,-0.3749763,0.30560133,-0.043500744,-0.6817422,0.13785775
Q6GIL6,0.57130086,0.22239108,1.0308008,-0.31534162,-0.97489387,-0.72279495,0.29062697,0.31094286,0.06890516,0.07817352,-0.8001956,-0.32606876,0.77036685,-0.09305273,-0.9955875,-0.61024845,-0.7302999,0.12291953,-0.08573899,-0.17702833,-0.47279167,0.4118895,0.05827497,-0.121783845,-0.6274316,0.7459673,0.7547797,0.5177227,-0.23435327,-0.14055887,0.31540135,-0.65167737
P63159,0.78125197,0.10402927,0.82950974,-0.43304527,-0.84032136,-0.44117495,0.15866491,0.13204467,-0.039102357,0.64541,-0.6183847,-0.50572014,0.6575553,-0.0733039,-0.92046404,-0.44228145,-0.5544217,0.3448565,-0.20582283,0.03273898,-0.22413144,0.2582573,0.07985677,-0.15107283,-0.45642492,0.8722024,0.64058065,0.86688256,-0.116425395,-0.10054082,0.34251878,-0.22300518
P46527,-0.35847595,-0.19161908,-0.8077923,0.3985922,0.70757955,0.500285,-0.3625738,-0.18661928,0.1369357,-0.35305434,0.2246688,0.21842152,-0.72828734,-0.39690822,0.80783975,0.4394174,0.616757,0.01734791,0.24117006,-0.14688466,-0.017402545,-0.45342392,-0.30689457,0.11551414,0.1645599,-0.59004235,-0.36171305,-0.47430393,0.2032922,-0.0067548305,-0.62198776,-0.07108783
P13721,-0.37357336,-0.17065772,-0.79225606,0.41414866,0.70351243,0.48348173,-0.35976455,-0.19504356,0.1659828,-0.3891906,0.21290687,0.25358006,-0.7245716,-0.41462025,0.7791472,0.43240744,0.6129151,0.021913022,0.24541025,-0.14883435,-0.03232822,-0.44646078,-0.30656064,0.12207938,0.14775658,-0.6061124,-0.34664524,-0.4830856,0.20214848,-0.025089875,-0.61514014,-0.10089288
P10645,-0.43809915,-0.38017762,-1.0776564,0.437836,0.9803404,0.82125574,-0.5149414,-0.4061699,0.070622995,-0.031042904,0.50259936,0.32816944,-0.9984357,-0.4925099,1.0083895,0.600032,0.8463732,0.07789079,0.28236187,-0.07572968,0.18226933,-0.59426224,-0.316319,0.22307527,0.3559834,-0.65349376,-0.52119696,-0.37970015,0.3041816,-0.02919431,-0.6858566,0.15174712
P60411,0.17224152,-0.10673763,-0.028438795,-0.03420546,0.04090896,0.15152147,-0.13259222,-0.20585379,0.02363972,0.35678202,-0.09065214,-0.025291003,-0.13302684,-0.31994358,-0.09445524,0.022716962,0.12683077,0.22757937,0.044660497,-0.027926754,-0.017542802,-0.13475135,-0.13005789,0.08932961,-0.06567103,0.14592688,0.15557542,0.2981206,0.09291594,-0.12386276,-0.124983005,-0.06343795
Q9BPZ3,-0.3325819,-0.29532215,-0.8636021,0.35203514,0.7581038,0.6596253,-0.42073873,-0.304803,0.13001977,-0.10485312,0.3231267,0.22664636,-0.8097213,-0.4296634,0.79441214,0.5018579,0.72565264,0.09957202,0.2119632,-0.057933316,0.08553943,-0.50905216,-0.31531525,0.16849354,0.24884546,-0.53265214,-0.3973637,-0.28493991,0.28605044,-0.044428058,-0.6163304,0.09197979
Q8IZH2,0.5733966,0.11997734,0.762569,-0.31580314,-0.69347906,-0.4275249,0.162483,0.0651586,0.008459602,0.425219,-0.5803863,-0.27210736,0.5286166,-0.1848264,-0.8376322,-0.4355714,-0.48909962,0.24965961,-0.101171404,-0.08176197,-0.252074,0.25207835,0.058121145,-0.05704782,-0.4434686,0.69396126,0.634874,0.63396084,-0.14014769,-0.14912271,0.27004123,-0.38553432
P54279,0.30333298,0.15689532,0.62677413,-0.10147051,-0.5869573,-0.48050895,0.18250966,0.19033387,0.10055794,-0.11073546,-0.6276568,-0.12379096,0.43872774,-0.18692395,-0.59419316,-0.39876702,-0.44172993,0.08076262,-0.0072904676,-0.19238852,-0.4102038,0.21969008,-0.016090274,-0.07386813,-0.46328154,0.40418947,0.51258445,0.22302373,-0.15394503,-0.13495716,0.08299819,-0.622178
P07288,-0.18501455,-0.07326847,-0.3102535,0.2834817,0.22808498,0.124809206,-0.14459032,0.017659836,0.2169801,-0.47520792,-0.1593329,0.07645965,-0.30098164,-0.28150994,0.3545214,0.1575009,0.27521405,0.052578278,0.12080249,-0.1492527,-0.23551056,-0.24958506,-0.23222469,-0.017034018,-0.084919505,-0.2891888,-0.08413924,-0.30369154,0.12093572,-0.037248775,-0.45898077,-0.33406535
P13686,0.021657951,-0.03308276,0.02565635,0.105028756,-0.0571782,-0.024548236,-0.047552466,0.025295757,0.16475394,-0.20278619,-0.28834867,-0.0086779,-0.059935812,-0.2656238,-0.018449709,-0.030324543,0.048439123,0.1091043,0.05648036,-0.13194144,-0.23954913,-0.10164107,-0.14710817,-0.017203586,-0.1897172,0.015968822,0.13575152,-0.005199641,0.05283819,-0.083498515,-0.23872554,-0.36406654
O94316,0.5415779,0.17782478,0.8960592,-0.29974958,-0.8340593,-0.58194304,0.23373902,0.22615021,0.015585829,0.18335016,-0.6939858,-0.32377842,0.649225,-0.13017218,-0.86492956,-0.52099967,-0.6244269,0.15634814,-0.08355044,-0.15996648,-0.3721021,0.34342742,0.050222576,-0.10431395,-0.53398484,0.70702183,0.67136586,0.5146295,-0.20943215,-0.11281878,0.28494725,-0.5570033
Q12309,0.4728043,0.10952152,0.711372,-0.2572473,-0.6480079,-0.407864,0.15370846,0.10891294,-0.010963853,0.28669047,-0.5502515,-0.26357377,0.47834402,-0.19085698,-0.7128487,-0.4031683,-0.4706518,0.18512836,-0.054940354,-0.13416734,-0.2688203,0.25405604,0.019823134,-0.047815934,-0.42349935,0.61609185,0.57157755,0.5052334,-0.15305749,-0.11389772,0.22305939,-0.4454388
P23872,0.42969632,0.1621284,0.7783007,-0.21461168,-0.7218117,-0.5215027,0.20468956,0.20237607,0.0371414,0.076840505,-0.64605016,-0.23917335,0.5438515,-0.16758388,-0.7374862,-0.456619,-0.5451841,0.12195368,-0.042731438,-0.1795202,-0.37544855,0.2995794,0.018921047,-0.077609695,-0.4992392,0.58266413,0.5992902,0.39317498,-0.18875742,-0.11767692,0.20820597,-0.5846653
P02686,-0.27083918,-0.22564577,-0.6991373,0.32015416,0.595706,0.49889448,-0.33511645,-0.20773664,0.15516171,-0.20570795,0.17224342,0.1736511,-0.6511285,-0.3772238,0.65143365,0.39910665,0.59409946,0.08931737,0.17851365,-0.07809847,-0.008928932,-0.43957368,-0.29060078,0.11314424,0.15191406,-0.45567036,-0.29671183,-0.28337082,0.24380279,-0.042090017,-0.57278955,-0.019655094
P02747,-0.2851256,-0.18494947,-0.65828866,0.3422344,0.55676097,0.4334438,-0.30876788,-0.1633806,0.17477064,-0.308829,0.12534615,0.17672798,-0.6124134,-0.36913696,0.6330206,0.3667316,0.5484603,0.07026075,0.18043628,-0.102079496,-0.057842523,-0.41665432,-0.28682598,0.09178325,0.10924495,-0.46985233,-0.27580854,-0.33822358,0.21979243,-0.03626451,-0.5659579,-0.09457744
Q15428,0.6924126,-0.04357425,0.53889805,-0.40781772,-0.50578403,-0.14041021,0.030757003,-0.07168541,-0.15966223,0.9036029,-0.31884843,-0.41315365,0.37178588,-0.16248439,-0.65979946,-0.28018278,-0.3182644,0.35138422,-0.13330083,0.04356252,-0.016397223,0.124583244,0.050630152,-0.02667273,-0.25156766,0.7634328,0.48203185,0.85711455,-0.06288968,-0.085617095,0.2608137,-0.00053846836
O95429,-0.38378525,-0.22360168,-0.89540523,0.39596066,0.80688256,0.58882785,-0.40108842,-0.23170245,0.10344973,-0.29353732,0.31009254,0.23241249,-0.81776184,-0.41800478,0.89230764,0.47341123,0.6796997,0.0026691705,0.25529882,-0.15069737,0.038321063,-0.4952802,-0.30403024,0.13777708,0.22509214,-0.62318885,-0.41656604,-0.4882835,0.20562476,0.001947552,-0.63413084,-0.003980428
P0AFW0,0.32730246,0.13198958,0.62406653,-0.13936535,-0.5780776,-0.41762534,0.1561152,0.1480419,0.07184608,0.0061867684,-0.5807346,-0.15643358,0.4116422,-0.20741478,-0.6037983,-0.37501237,-0.41947526,0.11511734,-0.0175809,-0.17550205,-0.35016638,0.21425712,-0.012607202,-0.053463817,-0.43547216,0.45011365,0.51436734,0.2994048,-0.14073887,-0.1297548,0.11786863,-0.55971515
P06821,-0.26278475,-0.32475752,-0.8695925,0.3028802,0.7645523,0.6879607,-0.43455905,-0.31775635,0.06687339,0.037121646,0.35366407,0.13329521,-0.79064345,-0.3968749,0.8100553,0.5205157,0.7299607,0.13982312,0.18474567,-0.026119154,0.13474055,-0.5095038,-0.30643815,0.14338914,0.27761325,-0.45983666,-0.41503683,-0.19769803,0.28841534,-0.009936675,-0.588392,0.1851181
O08807,0.5285687,0.10607721,0.68560284,-0.2752042,-0.6219458,-0.38792852,0.13688767,0.04960411,-0.0022800677,0.40527123,-0.53182036,-0.24810675,0.4721895,-0.1968418,-0.7470366,-0.39036727,-0.44921196,0.23672202,-0.07481243,-0.08856538,-0.2348107,0.22865355,0.04250133,-0.0472923,-0.4178774,0.6339426,0.58391833,0.5796051,-0.13296828,-0.13695425,0.23413172,-0.3761767
Q7NBZ0,0.43583804,0.19296603,0.8573552,-0.21690308,-0.79629296,-0.60378027,0.24177021,0.25561672,0.05936991,0.0029659271,-0.70754504,-0.23498967,0.6130884,-0.14992894,-0.80095106,-0.51198936,-0.61198914,0.09302522,-0.037417423,-0.19864401,-0.43539077,0.34502408,0.024141729,-0.09251898,-0.55064934,0.6014005,0.63856053,0.37710434,-0.21642703,-0.1294356,0.22650129,-0.654855
O94913,-0.23329023,-0.21571739,-0.66627717,0.29203218,0.5691364,0.47655657,-0.31812423,-0.20366791,0.14541872,-0.18014382,0.14897925,0.1444206,-0.6204997,-0.3610444,0.6135935,0.37632462,0.57624125,0.10085369,0.15716097,-0.069618404,-0.012702994,-0.4304391,-0.27951238,0.101198554,0.13829035,-0.42012554,-0.2720579,-0.25542578,0.23448944,-0.04072897,-0.5539527,-0.007053897
P16333,0.37169713,0.062402472,0.46050328,-0.17110117,-0.40720087,-0.23110181,0.06379155,-0.027494319,0.028265279,0.29954612,-0.4176051,-0.12628439,0.269665,-0.25923467,-0.54457766,-0.26843247,-0.2668985,0.20597294,-0.020891335,-0.09732506,-0.19003342,0.114605844,-0.016431749,0.009266553,-0.314873,0.43302536,0.45838305,0.42604172,-0.07045475,-0.15094891,0.106161386,-0.33649018
A8I4E9,0.39846754,0.05002825,0.48459762,-0.20189781,-0.42869014,-0.23120227,0.06266465,0.012465328,-0.032884922,0.34039426,-0.39685017,-0.2080442,0.293363,-0.23831175,-0.5116962,-0.26211417,-0.2967173,0.19586612,-0.020417687,-0.112549275,-0.17338341,0.14993563,-0.020298459,-0.0043984447,-0.30475447,0.48487878,0.43931454,0.44560277,-0.09886573,-0.102668315,0.1337696,-0.3177992
Q92890,0.5571866,0.060786054,0.6281013,-0.3047407,-0.5560687,-0.28799453,0.09367151,-0.027043633,-0.028984938,0.56817675,-0.45397252,-0.24558505,0.41155207,-0.222269,-0.7372668,-0.34318736,-0.3802718,0.28276855,-0.08260752,-0.0452744,-0.15630421,0.18758264,0.040488645,-0.016039858,-0.35173813,0.652511,0.5580121,0.66825676,-0.097658366,-0.14844464,0.24223307,-0.2617323
P0DTD2,0.083921924,-0.2808481,-0.5720028,0.048796073,0.52913576,0.53284305,-0.3514045,-0.3109211,-0.11111803,0.4859504,0.27332678,-0.13676342,-0.5136941,-0.29815346,0.5240319,0.39321586,0.5134378,0.26122713,0.07057355,0.032678228,0.20240653,-0.35289377,-0.2199651,0.091449775,0.2164827,-0.075849,-0.23786029,0.1690828,0.20292619,0.043129936,-0.3401423,0.32865554
O62479,-0.17679599,-0.18768868,-0.6067869,0.2413619,0.50930613,0.40729186,-0.28229752,-0.08956913,0.04481416,-0.21052606,0.118891776,-0.02852334,-0.5343095,-0.28573635,0.67207956,0.35087267,0.49297196,0.06670039,0.13783066,-0.11247319,-0.027346611,-0.36426127,-0.2775785,0.03525713,0.12922665,-0.3457005,-0.2972597,-0.27402413,0.16335796,0.055814892,-0.5124316,-0.008134201
P47017,0.25647593,-0.014188163,0.21815784,-0.09676322,-0.18796603,-0.053295594,-0.032742493,-0.051914163,0.0051614903,0.24408278,-0.2620409,-0.12630135,0.08376272,-0.27690667,-0.26285857,-0.112433925,-0.085744664,0.1826466,0.022918837,-0.09990461,-0.122356735,0.015155241,-0.081868425,0.025147451,-0.18681023,0.28002846,0.27155364,0.30789083,-0.018097304,-0.093454614,-0.014903665,-0.23006761
P00812,0.4937801,0.19007345,0.903664,-0.26193875,-0.8405061,-0.61458117,0.24637711,0.24745351,0.050043512,0.08798876,-0.71901906,-0.27299392,0.649267,-0.13938645,-0.8639939,-0.53371775,-0.6358573,0.12529917,-0.06245823,-0.17865898,-0.41620657,0.35236886,0.041219637,-0.097675405,-0.5606485,0.6658449,0.67679095,0.45681995,-0.21165878,-0.1313583,0.26487276,-0.6221195
Q28399,0.65415996,0.19716768,0.99924105,-0.36904064,-0.95428765,-0.656489,0.26258138,0.25001776,0.037528623,0.26182893,-0.7640853,-0.39309788,0.75559646,-0.08379163,-1.0036966,-0.5803927,-0.6888383,0.20508166,-0.13919191,-0.11817215,-0.39588448,0.36973345,0.07669747,-0.13865665,-0.58416843,0.8108511,0.74818563,0.6395494,-0.20362344,-0.123657905,0.34006426,-0.52813584
P36969,0.4511611,0.15935153,0.75987846,-0.22081804,-0.7029374,-0.5055941,0.19691774,0.14535937,0.059090067,0.1444656,-0.63961565,-0.20043766,0.5291044,-0.18147317,-0.77413476,-0.45920476,-0.5203215,0.15857886,-0.05736829,-0.14932586,-0.3543107,0.26843017,0.03326714,-0.06405658,-0.49468747,0.58111525,0.6205858,0.4396699,-0.16330212,-0.14944606,0.2078855,-0.5489486
P09041,0.7284189,0.22967608,1.0525225,-0.41394547,-1.0352571,-0.7133595,0.2780179,0.30801788,0.039873976,0.26174387,-0.81004703,-0.48410493,0.8323895,-0.033061564,-1.0525634,-0.6056764,-0.7389037,0.21357316,-0.17167199,-0.10428901,-0.42007858,0.39620286,0.080436885,-0.18211131,-0.6147116,0.86075056,0.77077234,0.6863694,-0.21679085,-0.10338008,0.37304327,-0.50554115
A0A0H2US80,0.6442334,0.22568743,1.0705076,-0.36738685,-1.0303658,-0.7372769,0.29476684,0.3195814,0.06277205,0.14910778,-0.82008946,-0.39738694,0.81739575,-0.0628187,-1.0498817,-0.6250211,-0.74928594,0.15978685,-0.12578642,-0.14924479,-0.46163324,0.41832757,0.07018907,-0.14318706,-0.63527673,0.81089395,0.7822547,0.6004461,-0.22810173,-0.13024227,0.34804663,-0.6017947
O09061,0.6322564,0.120245904,0.83237064,-0.35513392,-0.77328146,-0.46533987,0.17964363,0.093087964,0.01033685,0.47128075,-0.61781114,-0.32658458,0.59598964,-0.1558711,-0.90685546,-0.46580145,-0.53743356,0.27265358,-0.13094082,-0.062379166,-0.26451015,0.2797859,0.07222596,-0.08051205,-0.4687694,0.7681497,0.6678169,0.7106354,-0.14166375,-0.1440299,0.30671707,-0.3785423
Q9GZM8,0.221908,-0.047228366,0.12302725,-0.06384861,-0.10104869,0.022832692,-0.06739737,-0.12458016,0.042622633,0.28761908,-0.21106815,-0.047841586,-0.0037533455,-0.3047105,-0.22126125,-0.060578555,-0.004638861,0.2031166,0.034585066,-0.066608,-0.09026474,-0.05106969,-0.09240915,0.05420229,-0.15165123,0.21969412,0.24300867,0.3046712,0.033564188,-0.127758,-0.066020906,-0.18080287
P0ABV6,0.56552094,0.07886119,0.68284404,-0.3187837,-0.61129004,-0.34517407,0.11843667,0.057521053,-0.06271742,0.49704355,-0.4874525,-0.32564974,0.47270572,-0.1840756,-0.7173362,-0.3696936,-0.44185334,0.24323198,-0.07930851,-0.0849825,-0.1868584,0.23574346,0.038426965,-0.056743644,-0.37869814,0.6849617,0.55607605,0.6312994,-0.14348336,-0.09941062,0.25969434,-0.3095734
P01225,-0.44888252,-0.37768012,-1.0737978,0.44449574,0.9818463,0.8261821,-0.5186643,-0.41567928,0.083590314,-0.040321633,0.5032271,0.34646103,-1.0037161,-0.50612295,0.9951384,0.6051394,0.8586411,0.08223441,0.28438902,-0.07164695,0.17985794,-0.5914391,-0.31858253,0.23305297,0.3517675,-0.660357,-0.5144861,-0.3753588,0.30857337,-0.0416928,-0.6845565,0.14445092
A2ABV5,0.08472356,-0.13140494,-0.17430407,0.03967741,0.16266532,0.22196642,-0.17289422,-0.1760672,0.06574284,0.19512032,-0.052884087,-0.0073998123,-0.2329867,-0.31923607,0.08094397,0.11150697,0.23515396,0.19630077,0.06508185,-0.04235398,-0.027267985,-0.2038734,-0.16203752,0.066613026,-0.01971269,0.01618103,0.043670006,0.16080055,0.12333183,-0.092154115,-0.23439679,-0.05386491
O55164,0.17613095,0.0049873963,0.20769589,-0.021227447,-0.20020357,-0.10680193,0.0007788688,-0.0012146756,0.08813426,0.03300599,-0.33477724,-0.06646472,0.076372385,-0.26091352,-0.23560333,-0.13001439,-0.085755646,0.14679626,0.024605041,-0.118709296,-0.20767388,-0.009906828,-0.09226463,-0.00070353784,-0.23411661,0.19922346,0.2714014,0.18255407,-0.0029819012,-0.10650028,-0.088336036,-0.3397634
Q8IXK0,-0.1373735,-0.16242102,-0.47215277,0.22792074,0.38820934,0.3172478,-0.22739172,-0.107944034,0.129347,-0.19620933,0.010929555,0.04962588,-0.43963763,-0.29726768,0.458373,0.2636191,0.4215157,0.10328351,0.11096844,-0.08487493,-0.080756105,-0.34040898,-0.24242756,0.041088104,0.050759427,-0.28474075,-0.16684654,-0.19417715,0.17844547,-0.02324672,-0.47754,-0.09153152
P04049,0.22592972,0.0026263893,0.1983846,-0.057039216,-0.17729212,-0.075434566,-0.017169453,-0.05800581,0.059771772,0.1583653,-0.3013964,-0.06775847,0.07126647,-0.27358475,-0.26873153,-0.121954955,-0.06957461,0.17982404,0.018039327,-0.09214689,-0.15819229,-0.017597236,-0.07953018,0.017476423,-0.21128511,0.22653548,0.28507873,0.2508952,-0.0005489141,-0.121402144,-0.05844161,-0.26937068
P14859,0.44083756,-0.055004314,0.24226345,-0.22688901,-0.18094367,0.01678209,-0.06427609,-0.20943972,-0.096982345,0.7215384,-0.16294798,-0.15759838,0.09609099,-0.28965783,-0.39599514,-0.1090243,-0.092957035,0.295541,-0.014375929,-0.0022069998,0.02545634,0.011000007,-0.036717452,0.08064294,-0.1390973,0.444408,0.3390426,0.5894768,0.0004736483,-0.12585029,0.09939116,-0.013434961
P21187,0.7520295,0.07312377,0.81036645,-0.42592016,-0.8080014,-0.40667838,0.14843214,0.10757577,-0.053185534,0.6679773,-0.58357036,-0.481794,0.6278005,-0.08877182,-0.89374244,-0.4316238,-0.5306545,0.33684236,-0.18540195,0.021847378,-0.20267536,0.25233316,0.0733673,-0.12921743,-0.4301784,0.8641995,0.62568045,0.8625461,-0.11241901,-0.102371454,0.3292546,-0.219039
O94760,0.33011496,0.1615894,0.6979434,-0.13094865,-0.64749616,-0.50839436,0.19458377,0.18181577,0.11276442,-0.05656685,-0.64964914,-0.11822235,0.47873247,-0.19852512,-0.6844973,-0.43926188,-0.48434427,0.097102955,-0.016546052,-0.18753359,-0.4118012,0.24410528,-0.0012896955,-0.062381007,-0.49333623,0.46096635,0.56907034,0.29196125,-0.1543362,-0.15819038,0.12866169,-0.63828224
I7MG78,0.50852346,0.1437368,0.8070257,-0.28473702,-0.737333,-0.49015406,0.19417626,0.16087598,0.0003806688,0.24658377,-0.6192703,-0.2961846,0.56080157,-0.16248631,-0.79137397,-0.4644118,-0.5449832,0.17233196,-0.070938155,-0.14523584,-0.31668878,0.2996294,0.03755018,-0.077242814,-0.47824615,0.6685357,0.6220015,0.51766646,-0.18404269,-0.112705104,0.26004633,-0.49679345
P17256,0.29452705,0.16107275,0.66722435,-0.100108765,-0.6217874,-0.503441,0.19148579,0.19815338,0.12215929,-0.119827196,-0.64763826,-0.10429589,0.46177202,-0.19547486,-0.63770413,-0.4219208,-0.47042942,0.077007234,-0.001984451,-0.19616719,-0.427802,0.23520654,-0.014518686,-0.06987069,-0.4851111,0.41966987,0.5386621,0.23819032,-0.15264061,-0.1515645,0.09862232,-0.6585392
P09546,0.60079545,0.11664531,0.8020213,-0.33891055,-0.7354184,-0.44169572,0.1716097,0.078090884,0.0083784945,0.4541366,-0.59596854,-0.30194122,0.56025153,-0.1722196,-0.8742099,-0.44995472,-0.5126305,0.26020736,-0.11471027,-0.072794385,-0.25663543,0.27081823,0.06437139,-0.06688862,-0.45609733,0.7372019,0.6516341,0.6778444,-0.14244096,-0.14719549,0.29145038,-0.38140863
O14960,0.029498845,0.017816536,0.15744416,0.09587187,-0.16975735,-0.1380193,0.011492737,0.09702002,0.17479071,-0.29992777,-0.38917994,-0.0203382,0.047500703,-0.24648832,-0.11594806,-0.11162538,-0.05410677,0.07869813,0.051451568,-0.1624391,-0.31329587,-0.033966437,-0.1324159,-0.04532226,-0.25432542,0.060915872,0.20288184,-0.027424887,0.0059162676,-0.09023017,-0.19537716,-0.4794373
O59734,0.7043499,0.065855116,0.7813421,-0.3956448,-0.74815726,-0.37340516,0.13334626,0.05086804,-0.02338807,0.65863633,-0.5523801,-0.38540372,0.5750584,-0.14717633,-0.89751005,-0.4122006,-0.48860806,0.33718705,-0.16026689,0.006635938,-0.19253157,0.24437314,0.077512324,-0.08269236,-0.4117409,0.81878114,0.6271831,0.84250534,-0.10336897,-0.13475539,0.31800348,-0.24128789
