accession_code,ProstT5_32_dim_0,ProstT5_32_dim_1,ProstT5_32_dim_2,ProstT5_32_dim_3,ProstT5_32_dim_4,ProstT5_32_dim_5,ProstT5_32_dim_6,ProstT5_32_dim_7,ProstT5_32_dim_8,ProstT5_32_dim_9,ProstT5_32_dim_10,ProstT5_32_dim_11,ProstT5_32_dim_12,ProstT5_32_dim_13,ProstT5_32_dim_14,ProstT5_32_dim_15,ProstT5_32_dim_16,ProstT5_32_dim_17,ProstT5_32_dim_18,ProstT5_32_dim_19,ProstT5_32_dim_20,ProstT5_32_dim_21,ProstT5_32_dim_22,ProstT5_32_dim_23,ProstT5_32_dim_24,ProstT5_32_dim_25,ProstT5_32_dim_26,ProstT5_32_dim_27,ProstT5_32_dim_28,ProstT5_32_dim_29,ProstT5_32_dim_30,ProstT5_32_dim_31
P47017,-0.056217544,0.18274406,0.38338372,0.122575425,0.020684343,-0.006011106,0.012764022,-0.25882486,0.08897204,0.39013365,0.27391875,-0.24978009,0.26115754,0.10611554,0.100440495,-0.22206452,-0.018883012,0.067562975,-0.057150573,-0.27737096,-0.017013501,-0.11766225,0.07012103,0.00052154064,-0.018601641,-0.10192139,-0.27540907,0.029819235,0.24611118,-0.014736457,-0.17924434,0.30967462
P00812,-0.036456913,-0.011484459,0.11315874,-0.016107524,-0.5004507,0.38351592,-0.5645887,-0.19448349,-0.15118092,0.1538063,0.037384827,0.04758276,0.0587696,-0.28519982,-0.09188882,-0.11259785,0.071243554,-0.12910181,0.16643453,-0.56347585,0.18465629,-0.3305177,-0.42482418,0.13155368,0.32072377,0.066214055,-0.17570391,0.3633452,0.36045086,0.25740469,-0.10351376,0.007943641
Q28399,-0.14271787,-0.094763294,-0.51397353,-0.004591802,-0.48030525,0.43206173,-0.43751055,-0.3417939,0.022254843,0.15181458,0.07168175,0.1491805,-0.38330516,-0.05409182,0.14722514,-0.11554816,-0.027586237,0.25679126,0.3880362,-0.15933895,0.15344468,-0.10630292,-0.11206862,0.000612393,0.13331519,0.26088777,-0.15717357,0.49182433,0.06236001,-0.08912988,-0.25248006,-0.03480787
P36969,0.1914062,0.17143,0.019706361,0.26682132,0.04507592,0.1564985,-0.19358699,-0.2261061,0.006760328,0.10718984,0.27336732,-0.12098879,0.18248194,-0.051975287,-0.18067017,0.07396558,0.12784836,-0.08369177,0.3160097,-0.46291834,0.113517776,-0.049849927,-0.27330756,-0.070810735,0.1402118,-0.25048807,-0.13148248,0.208868,0.20352009,-0.04550008,-0.12788695,0.045924332
P09041,0.1255716,-0.10679625,-0.38057014,0.019290766,-0.42131674,0.3119252,-0.27509078,-0.51306367,-0.009145063,-0.03640741,0.29277515,-0.005301282,-0.190138,0.094625466,0.07768648,0.09975259,0.1216574,0.15104637,0.23383439,-0.0030004382,-0.1073137,0.038654268,-0.3166857,-0.2349139,0.30308396,0.2888473,-0.060918935,0.405889,0.08854633,0.18384662,-0.39594376,-0.24378271
A0A0H2US80,-0.03785929,-0.027947254,-0.2532595,0.048766248,-0.5718018,0.29840937,-0.47794825,-0.2504577,-0.17444032,0.22613761,0.18578492,-0.058221728,-0.3431148,-0.016166218,0.13897997,-0.044141144,0.0031024516,0.19465667,0.29296386,-0.4853539,0.10747189,-0.20493679,-0.32686228,-0.034506828,0.11230023,0.14333911,-0.30604953,0.5261057,0.1800592,0.007995004,-0.3136721,0.019945752
O09061,-0.05459915,-0.02777668,0.054704547,-0.007852728,-0.26728386,0.15730605,-0.18405767,-0.25943372,0.0843027,0.28583992,0.087574914,-0.16713753,0.20199865,0.08903403,0.17997158,-0.18759003,-0.10278836,0.019819237,0.09365004,-0.41574752,0.088317126,-0.28028488,-0.14748739,-0.010658249,-0.08458278,0.0079763215,-0.33265182,0.20546257,0.1904594,0.10672458,-0.22836134,0.101457536
Q9GZM8,-0.19730818,0.39232114,0.7187181,0.0011801478,-0.27070934,-0.20520794,0.7397505,-0.5487313,0.038197137,-0.140897,0.02748483,0.04360658,-0.6655532,0.07459255,0.41362444,0.15418042,-0.20824759,0.3580856,-0.5472294,0.1701601,-0.102461904,-0.14157718,0.21190597,0.52586085,-0.15276834,0.271892,0.23620912,0.053626314,-0.00370555,-0.1819712,0.3746427,0.34918845
P0ABV6,-0.108727805,-0.1254825,0.46369466,0.3612222,-0.098126255,-0.010666788,-0.08561019,-0.3654272,0.005638878,0.3021397,0.16729262,-0.022558905,0.26428956,-0.08493739,0.14631423,-0.22492489,0.13080013,-0.066012405,-0.0074322373,-0.45126343,0.29858768,-0.18361859,0.1698986,0.18815231,-0.19203866,-0.11993567,-0.06167061,0.15639713,0.09234497,-0.27811188,-0.2755482,0.65820414
P01225,-0.41981518,0.32657984,0.424713,-0.15215841,-0.13449602,0.02401311,-0.29421028,-0.08137482,0.3038921,0.8615307,0.22336926,-0.17606269,0.33075374,0.018297046,0.016868025,0.021550223,-0.038321078,-0.18403232,-0.15918107,-0.47761554,0.20598312,-0.033176765,0.09072076,-0.27918434,-0.0036866814,-0.22637866,-0.09575916,-0.10123494,0.57041925,0.109686114,-0.37317318,0.12580763
A2ABV5,-0.014090776,0.022459924,0.32852012,0.049135618,-0.09068823,0.14152758,-0.072332874,-0.18047205,0.19301973,0.041223057,0.009660605,0.030542135,0.12013176,0.013677008,0.1383973,-0.19967434,-0.11457379,-0.03437671,-0.13006353,0.04271844,0.00043230783,-0.30477107,-0.019955058,0.055844486,0.41779786,0.21003336,-0.108741485,-0.17696643,0.26968294,0.09275331,0.13619587,0.17461796
O55164,0.108675286,-0.115918845,0.02399718,0.38636643,-0.057070393,0.23342225,0.10658729,0.1858593,0.17151763,0.03224258,-0.1393191,-0.0668483,-0.067038804,-0.14065783,-0.1940274,-0.1624757,0.25350177,0.6012027,-0.085904926,-0.19410644,-0.021538813,-0.27070206,-0.11566804,0.14302532,-0.00660111,-0.1596456,-0.13074014,-0.00894627,-0.07782333,0.025557542,0.26110843,0.24376191
Q8IXK0,-0.24686307,-0.013009898,0.0659573,0.107429095,0.07631174,-0.24447303,0.61745745,0.42570263,0.14546268,-0.15646434,-0.6906214,-0.4776736,-0.29561612,-0.37546453,-0.055505373,0.244688,-0.20147379,0.07356594,-0.3274383,0.32824194,0.23664643,0.007463068,0.09464148,0.22696412,-0.67324644,-0.23655567,0.42626503,0.14306918,-0.06303536,-0.1408437,0.53099203,-0.39713988
P04049,-0.095997676,0.05590248,0.006363444,0.22599167,0.02235892,0.3018943,0.10275003,0.32851273,0.29965088,0.20396638,-0.20947109,-0.07759725,-0.11016677,-0.13220812,-0.2636292,-0.05417846,0.1108417,0.55184394,0.11038214,-0.18048564,0.05794939,-0.1281288,-0.033571128,0.13944861,-0.096517555,-0.23491684,-0.10095594,-0.012563467,0.16042274,0.08927598,0.3451461,-0.003072638
P14859,0.18530576,-0.12798715,0.271482,0.6101584,-0.10945426,-0.25019276,0.62374085,0.09400015,0.25918,-0.19414997,-0.34646368,-0.41551322,-0.23694445,-0.28189322,-0.079089336,0.13086769,0.068760484,0.36409545,-0.32826415,0.27020198,0.09955895,0.0854958,-0.029307116,0.086861126,-0.27657038,-0.26560035,0.24039453,0.09420663,-0.05262407,-0.16424216,0.24450931,0.118696064
P21187,0.10835312,0.09076853,-0.24289468,0.33444566,-0.05335376,0.2259315,0.22317022,-0.19805238,0.41517892,-0.22204745,-0.14182164,0.03459336,-0.4035308,0.18295333,0.0067568645,0.04241056,-0.05434993,0.5867318,0.040820688,0.16688813,0.028767865,0.07078211,0.03713909,0.11410906,-0.11297795,0.0933849,-0.08852851,-0.02564177,0.017051853,-0.10071439,0.20435551,0.1719633
O94760,0.09832573,0.06900549,0.08871498,-0.023331719,-0.3203974,0.3539375,-0.53032696,-0.21814361,-0.08189616,0.19272953,0.09425725,-0.02416876,0.14371711,-0.07064203,-0.10165392,0.027879909,-0.038499445,-0.14316264,0.16272753,-0.5539759,0.12414751,-0.24407288,-0.47192532,0.05458066,0.2529713,0.0075154323,-0.20386836,0.20915163,0.34847647,0.25304484,-0.16745879,-0.038694743
I7MG78,-0.1361579,-0.08658655,-0.01510217,-0.088564284,-0.24885105,0.31908235,-0.14732102,-0.45591113,-0.0029701712,0.12606023,0.27181983,0.04702431,0.18146962,-0.10261236,0.117157735,-0.020383775,-0.06743169,0.0046728924,0.39565372,0.029419139,-0.051352095,-0.05766189,-0.29787213,-0.0064303726,0.4427927,0.20173444,0.094151005,0.17583978,0.20873094,0.1635656,-0.104372784,-0.20561524
P17256,0.045976415,-0.09389362,0.043346897,-0.105127856,-0.57445914,0.44956282,-0.55449426,-0.33097023,-0.038138438,0.112696424,-0.040004577,0.01818788,0.14095294,-0.16017395,0.018181406,-0.09688924,0.022690289,-0.061353944,-0.053020015,-0.35632813,0.07207739,-0.33766177,-0.4511882,0.10234752,0.30407006,0.21652244,-0.13384461,0.17031428,0.20487368,0.37354064,-0.18555939,-0.021006826
P09546,0.03920026,-0.070777684,-0.25828832,0.066216186,-0.19022475,0.3652152,-0.038494743,-0.6044455,0.22147912,-0.14757991,0.18343757,0.100185856,0.18377867,-0.17360401,-0.043863192,-0.061207786,0.22561546,0.15001863,0.21645224,0.2947471,-0.13326524,0.00044061244,-0.14513515,-0.040889055,0.45271432,0.21525574,0.16143113,0.10380622,-0.07455746,0.12574326,-0.03359327,-0.11520021
O14960,-0.25770873,0.30828214,0.31448048,-0.054834954,-0.19486642,0.2232508,-0.77166116,0.13044631,0.27989054,0.71343625,-0.06117588,0.009235196,0.14501634,-0.2245144,-0.3203151,-0.062296897,-0.044802025,-0.22926056,0.04481961,-0.8528017,0.39983737,-0.2960952,-0.14100978,0.06417742,0.058966666,-0.29007223,-0.2747258,0.09908044,0.60138613,0.20186843,-0.2139889,0.13897364
O59734,0.15339674,0.06696399,0.050602548,0.15220274,0.21779396,-0.110802814,-0.7134848,-0.4085533,0.07685866,0.3284456,0.2502897,-0.06386113,0.33055615,0.3850907,0.015981257,-0.09024057,-0.073928714,0.14120437,0.09867585,-0.5814363,0.0071562035,-0.22304344,0.051849592,0.07693483,-0.31428304,0.07114919,-0.37020144,-0.06004344,0.01058808,0.10570654,-0.4644427,0.37883016
P42834,-0.029339314,0.15457126,0.5036029,0.32256967,0.26937276,-0.13242158,0.17210099,-0.15563059,-0.24882427,0.31454283,0.5015786,-0.13709396,0.20251352,-0.034175865,0.006845154,-0.20554411,0.3486639,0.015298344,-0.04198204,-0.32000923,-0.10455414,-0.045952067,0.16704406,0.07521917,0.23434754,-0.15664762,-0.1255568,0.12897292,0.21600133,-0.25917378,0.057261307,0.39419413
P14738,-0.21321398,0.014830828,0.11095729,-0.12603277,-0.3152796,0.13748685,-0.017171144,0.24277657,0.36720744,0.29455674,-0.53086424,-0.182572,-0.00159958,-0.098294266,-0.09924396,-0.17447594,-0.07401849,0.1817537,-0.47988147,-0.23554917,0.20384367,-0.41213948,0.031069394,0.03500153,-0.27894062,-0.114338495,-0.19121197,0.10291752,0.29223818,0.29635814,0.20766822,-0.14780883
P31725,0.23074506,0.042810343,0.36650184,0.33156136,0.27626315,-0.03768506,-0.053135246,-0.43342012,-0.23438457,0.0996342,0.5110815,-0.19927354,0.39823276,0.09865255,-0.0077963993,-0.118430585,0.123114645,0.009626277,0.16164908,-0.3078757,-0.10717839,-0.11892621,-0.1033434,0.17296064,0.23485304,-0.07115094,-0.117360584,-0.044030458,0.00011114031,-0.1893829,-0.025969777,0.42767245
O14011,0.07188283,0.06927471,0.13134071,0.011490075,-0.079018116,0.2109479,-0.27806756,-0.12646124,0.23367181,0.12826978,-0.17716095,0.09166326,0.044741124,0.08994638,0.06935305,-0.29338214,-0.18715577,0.118903525,-0.17674069,-0.18114188,0.044408318,-0.45382255,-0.046189774,0.22956365,0.087198526,0.16910316,-0.36591497,-0.12159786,0.16867527,0.09330242,0.03744174,0.29785797
P21327,0.07329056,-0.09377946,0.1429852,-0.07305723,-0.3216271,0.40292546,-0.22439705,-0.06396889,0.12472712,0.24760355,-0.01617993,-0.10000067,0.29571474,-0.13414556,-0.13503867,0.004682511,0.0664134,-0.06785261,0.061193034,-0.33267167,0.0334942,-0.32307822,-0.3328966,-0.07000284,0.31938505,-0.058728904,-0.10566629,0.100408524,0.21945041,0.2932912,-0.10324879,-0.1730008
O61722,0.17696886,-0.020406477,-0.043217905,0.23567384,-0.08201551,0.14970794,-0.29541737,-0.34294742,-0.06764839,-0.046365023,0.17013708,-0.0785914,0.24745634,0.02038496,-0.007865451,-0.11512366,0.103652894,-0.0080641955,0.24365324,-0.48449934,0.10812814,-0.29642063,-0.24202865,0.103993654,0.01158601,-0.0013811197,-0.2475355,0.16859722,0.033148184,-0.01648573,-0.051303368,0.20573385
P62993,0.2069963,0.3554116,-0.19062597,0.21596679,0.39263657,0.13778663,-0.38971636,-0.07834197,0.2772437,0.2727577,0.2503864,0.0723937,-0.04250264,0.251319,-0.19368435,0.012348264,-0.05352871,0.25343114,0.20649803,-0.39635438,-0.041152325,0.06658551,0.0330231,-0.04568748,-0.009307608,-0.13907076,-0.3160074,-0.10291049,0.08638977,-0.03262008,-0.11209692,0.12364079
Q3HL75,0.042693958,0.013505258,-0.1955125,0.05682767,-0.46867824,0.24547768,-0.4540884,-0.3528238,-0.16381934,0.19990814,0.40803173,-0.08596182,-0.35380366,-0.1521964,-0.054110624,-0.04396844,0.07821031,0.2996478,0.36249995,-0.21681213,-0.15636753,0.004992321,-0.27851477,-0.12927859,0.38720626,0.16661927,-0.19015148,0.5940951,0.10001462,0.18642555,-0.40116704,-0.15253703
O75400,0.07803865,-0.05047497,0.23171508,0.58168805,-0.17570096,-0.18427533,0.63178676,-0.0148004,0.4240469,-0.20857015,-0.38842118,-0.41883639,-0.26420176,-0.21075523,-0.12494687,0.25578102,-0.07223067,0.41773245,-0.14507915,0.31535727,0.18073197,0.14794667,-0.07796149,0.086216114,-0.4407835,-0.24754083,0.26645973,0.09247127,0.033457704,-0.12138562,0.19767764,0.0696128
P68104,0.3117993,-0.14827183,-0.72684515,0.23540449,0.26229635,-0.0152364075,0.076321736,-0.23453167,0.39782318,-0.1659553,0.2649114,0.25455907,-0.44735402,0.57225615,0.13364664,0.09468537,-0.0012108237,0.22718468,0.31042928,0.19897567,-0.15489215,0.038447544,0.05353057,-0.5659959,0.07116987,0.14599787,-0.2880582,0.28600425,-0.002182804,-0.11797335,-0.3459812,-0.3328567
P68105,0.3117993,-0.14827183,-0.72684515,0.23540449,0.26229635,-0.0152364075,0.076321736,-0.23453167,0.39782318,-0.1659553,0.2649114,0.25455907,-0.44735402,0.57225615,0.13364664,0.09468537,-0.0012108237,0.22718468,0.31042928,0.19897567,-0.15489215,0.038447544,0.05353057,-0.5659959,0.07116987,0.14599787,-0.2880582,0.28600425,-0.002182804,-0.11797335,-0.3459812,-0.3328567
O95727,0.061258107,-0.029596522,0.07531964,0.16245171,-0.1854849,0.05503331,0.31666702,0.012829058,0.2750829,0.16784614,-0.3779361,-0.12182818,-0.13232495,-0.02856683,0.07123018,-0.29469082,-0.048369303,0.3562767,-0.6141033,0.03423609,0.040991955,-0.24179925,0.093539596,0.114320114,-0.28531468,-0.078261994,-0.24085668,0.09250691,0.044580486,-0.017513094,0.10369128,0.18903942
Q05080,-0.0770714,0.1733343,0.20514497,0.14175294,-0.21697865,0.023474634,0.4544425,-0.31044447,0.36953178,-0.17942038,-0.36176148,-0.090083554,-0.29806694,-0.22661623,0.028262608,-0.008355558,-0.15701072,0.39735973,-0.10245786,0.34297222,0.07036053,-0.15136383,0.04549196,0.3029521,-0.09726124,0.03312608,0.14867651,0.231036,0.08482885,0.040090006,0.2964143,0.059774224
P25233,-0.019055411,0.020748615,0.24441719,0.41052628,-0.08060935,0.14841296,0.23327708,-0.12043353,0.24144088,-0.0033672452,0.16505769,-0.15077244,0.16082159,-0.13588777,-0.07989262,0.026972339,0.26382476,0.20379946,0.1602161,-0.09806852,0.088456176,-0.062887356,-0.10846226,-0.10854997,0.14689638,-0.17846647,0.0667958,-0.009909764,0.15642503,-0.026804803,0.09282756,0.16744405
O75129,-0.20484467,-0.1242525,0.04294593,-0.07116572,0.08033544,-0.106199384,0.44966078,0.5482298,-0.04534561,0.04117193,-0.47486153,-0.45610636,-0.1794803,-0.030127607,0.09198745,-0.056437105,-0.003691703,0.16707596,-0.44259945,0.14007086,0.015270944,-0.18332659,0.11072755,0.18431428,-0.26465634,-0.018041125,-0.01959277,0.037868336,0.1657621,0.042952564,0.69418085,-0.3560744
P02091,0.28798705,0.12557244,0.06938481,0.1712289,0.034157407,0.006767772,-0.5821077,-0.83184797,-0.11129438,-0.06421977,0.55935276,-0.062161233,0.2857277,-0.0846763,-0.2617521,0.048342004,0.15958226,-0.03722631,0.46840346,-0.09991787,-0.26699588,0.097459584,-0.23735663,-0.059971154,0.41918725,0.11908568,0.03863465,0.3301896,0.062878445,0.297857,-0.5159611,-0.0064243264
A8KC60,0.029705033,-0.07118228,-0.38442913,0.11714003,0.026785765,0.18883474,0.119891256,-0.34953728,0.33245972,-0.066076666,0.123760685,0.077208415,-0.19276518,0.3022295,0.24767125,-0.08980575,-0.17899866,0.20745355,0.4035322,0.1583653,-0.0028667795,0.039193764,0.103538394,-0.15098833,0.049346045,0.1483272,-0.22251266,0.26974148,0.072812974,-0.124642976,-0.15461074,-0.09669715
P63165,0.24461366,-0.28858006,0.049702264,0.6861603,0.10880993,0.031811878,-0.2447137,-0.079398565,-0.011548747,0.13448378,0.22717153,-0.10149653,0.1926063,0.045404665,-0.13993117,0.0154904425,0.37708247,0.46462694,0.036034614,-0.47593153,0.07079039,-0.02992542,0.022517707,0.022226468,-0.2197858,-0.1992439,-0.03884369,-0.08496863,-0.25377125,-0.20623444,-0.20735255,0.5373957
P10809,-0.32639128,-0.12773797,-0.3436031,0.09454959,-0.50707287,0.06375055,-0.23184398,-0.53382343,0.19528034,0.17063726,0.2589724,0.12519947,-0.37268886,-0.2282961,0.20672405,-0.22727242,0.093304776,0.4919024,0.39970118,0.12255733,-0.04065755,-0.0384864,0.05531476,-0.23771648,0.19074492,0.27990982,0.0042944252,0.6671264,-0.030907698,0.07089858,-0.47397876,-0.013504524
P53584,0.04044947,-0.08112325,0.114807546,0.03777074,-0.19482464,0.2508826,-0.24687046,-0.27792674,0.1718894,-0.09146769,-0.10455704,0.15379083,0.17235798,-0.3593057,-0.046395384,-0.374481,0.078043416,0.018224671,0.04828006,0.010313809,-0.017988916,-0.49101365,-0.015172277,0.2163877,0.5162766,0.18443331,-0.09991566,0.10716468,0.0054752566,0.15587881,0.171342,0.10123618
Q9MZB4,0.2701863,0.09699857,-0.06321997,0.12991774,0.1790093,0.05571171,-0.27013674,-0.7209787,-0.13473856,-0.23010081,0.4482462,-0.06189236,0.29828715,0.31385356,0.020102315,0.06491108,-0.054047287,-0.059138916,0.37868178,-0.1414479,-0.111416265,-0.049716577,-0.30014247,0.08372701,0.22744264,0.20866299,-0.087097175,-0.009580553,0.10547773,0.049415376,-0.037850413,0.06045806
P0DPK5,-0.5709111,-0.21597782,0.30896053,0.49143112,-0.16825297,-0.28608152,0.07537457,-0.67636454,-0.0054811845,0.10579771,0.5796708,0.024243891,0.024659187,0.28975058,0.5668112,0.22536895,0.029061347,0.3067776,0.40670407,-0.15192664,0.2754502,0.1137857,0.097571656,-0.047215924,-0.35614246,0.28336385,0.32518223,-0.13233873,0.12287136,-0.343735,-0.15301669,0.587523
P08902,0.004566103,0.15912934,0.21187273,-0.16617608,-0.18004222,0.2566731,-0.5099999,-0.031654842,0.22344768,0.71324605,-0.042315964,-0.15814659,0.311154,-0.027453348,-0.143614,-0.15840474,-0.14589542,-0.06267231,-0.2395846,-0.561672,0.06578041,-0.24202627,-0.1457663,0.0075128227,0.0341267,-0.18464786,-0.37001243,0.038196802,0.30976665,0.2831339,-0.36978152,0.061473254
Q88YH3,0.056915537,-0.0026356876,-0.20194224,0.05771465,-0.43137962,0.24354866,-0.41913837,-0.33562562,-0.16147716,0.20087962,0.4230123,-0.07896231,-0.36075738,-0.14147562,-0.06206199,-0.05323395,0.07694064,0.30345786,0.37571144,-0.18774392,-0.1774364,0.020440444,-0.2540679,-0.14656018,0.4082926,0.1539995,-0.19139406,0.6094023,0.09170927,0.17703904,-0.39875108,-0.1844668
O81770,0.026665047,-0.118836865,-0.16819412,0.12885337,-0.31510648,0.45344344,-0.032866865,-0.25249133,0.2113766,-0.08028358,-0.079996616,0.0016089231,0.092787,-0.08431123,-0.09381525,-0.03098324,0.17780581,0.19926831,0.095585585,-0.060755447,0.10452424,-0.22403844,-0.2486149,0.059756123,0.14284165,0.08612534,-0.02073542,0.078340575,0.03864228,0.05747193,0.088171124,0.03197689
