accession_code,ESM_32_dim_0,ESM_32_dim_1,ESM_32_dim_2,ESM_32_dim_3,ESM_32_dim_4,ESM_32_dim_5,ESM_32_dim_6,ESM_32_dim_7,ESM_32_dim_8,ESM_32_dim_9,ESM_32_dim_10,ESM_32_dim_11,ESM_32_dim_12,ESM_32_dim_13,ESM_32_dim_14,ESM_32_dim_15,ESM_32_dim_16,ESM_32_dim_17,ESM_32_dim_18,ESM_32_dim_19,ESM_32_dim_20,ESM_32_dim_21,ESM_32_dim_22,ESM_32_dim_23,ESM_32_dim_24,ESM_32_dim_25,ESM_32_dim_26,ESM_32_dim_27,ESM_32_dim_28,ESM_32_dim_29,ESM_32_dim_30,ESM_32_dim_31
O76095,-9.8735094e-05,0.57107633,-0.22302921,0.31469974,-0.005750425,-0.2122682,-0.08616514,-0.0009546019,-0.3969468,0.57983375,-0.122274466,-0.17736745,-0.095535904,-0.17879385,-0.114618905,-0.31078565,-0.07507202,-0.013487756,-0.34696433,-0.30888906,-0.39232612,-0.18156801,-0.10157946,0.5971778,-0.05812052,-0.19957384,-0.08982001,0.21565613,0.029311106,-0.088977054,0.31059766,0.5018168
Q6GIL6,-0.26117152,0.010519221,0.2050669,-0.15553513,0.080403335,0.0090922415,-0.11664717,0.12707184,-0.00079514086,0.22343051,-0.032985054,-0.0093871355,-0.29445624,-0.523965,0.5128479,-0.20774798,0.13216886,0.06650081,0.44945285,0.14421287,0.072464034,0.5230897,-0.50457823,-0.032512657,-0.048667192,-0.18497758,-0.070823476,-0.48472652,0.15727706,0.15711768,-0.02436307,-0.015272409
P63159,-0.35932028,0.19976473,0.593303,-0.16403995,0.46745843,0.3964288,-0.009261146,-0.009834234,-0.68004173,0.11775409,-0.16728845,0.12286742,0.36855662,0.018990256,-0.21270826,0.54679906,-0.18423833,-0.34324628,0.21391526,-0.35228807,0.29608965,0.93695015,0.14545627,0.10120168,-0.17004421,0.47997662,-0.3795286,-0.016642272,-0.07249288,0.26445758,-0.016460314,-0.23580533
P46527,0.33295202,0.678141,0.088685825,0.69652027,0.16128555,0.10608522,0.12610996,0.04472955,-0.32624167,0.099891335,0.037518613,0.1515802,0.2019602,0.11033876,-0.07184612,-0.09664866,-0.18736222,-0.5753182,-0.39281175,-0.45157912,0.00015585124,-0.02490431,-0.08040212,0.12046021,-0.07430825,0.019409914,0.032608703,0.0754846,-0.19659755,0.26717013,-0.14827746,0.23578744
P13721,0.4392578,0.2265653,-0.0021825396,0.059749864,-0.12789434,-0.27672085,-0.10373841,0.25437233,0.026112631,-0.08976771,-0.041678064,-0.21004847,-0.19417818,0.063076355,-0.11994713,0.19360462,-0.038319524,0.024399977,-0.5902417,0.10030035,-0.08522931,-0.16280827,-0.36760607,0.22745642,-1.847744e-06,0.16949666,0.41108704,0.11033329,-0.06178555,0.12844063,0.004942566,0.24829607
P10645,0.13552867,-0.044044316,0.09722333,0.5529892,-0.0383505,-0.07266869,-0.033725806,-0.15885712,-0.5246671,0.16676551,0.12152601,-0.3934683,0.18580848,0.6734585,-0.15295991,0.39139804,-0.0345512,-0.3950951,-0.079841465,-0.2229985,-0.48327702,0.18260443,0.192923,0.206784,0.17051615,0.37550217,0.3537482,0.538447,0.09253462,-0.3501492,0.38862422,-0.032267943
P60411,-0.22561258,0.21296874,-0.21247937,0.025011266,-0.038353145,0.36021703,-0.32184827,0.28427604,0.044832096,-0.42489904,0.61497664,0.6363534,-0.07285473,0.35065663,0.28453028,-0.037889615,0.084417224,0.21128508,-0.34593815,0.1973323,0.2114083,-0.72133446,0.98385525,-0.8071475,-0.20629662,-0.6316529,-0.31508315,-0.82739425,-0.14058326,-0.034957953,0.387097,0.07024686
Q9BPZ3,-0.110994205,1.0084449,0.062279064,0.31291252,0.10406802,-0.36616197,-0.009150833,0.27117848,0.043418363,0.13091788,-0.024876997,-0.107797295,0.1640589,-0.214598,-0.49569783,-0.27577603,-0.080372915,-0.041841347,-0.003465958,-0.2549897,0.100733146,-0.19958413,-0.2488576,0.025629966,-0.0022195876,0.31275186,0.5794922,0.05635692,-0.38669375,-0.05204545,-0.2905481,-0.1132667
Q8IZH2,0.782211,0.12232022,-0.05861416,-0.09395447,0.00715328,-0.054294944,-0.07847379,-0.041423153,0.043923333,-0.025622308,0.0034575835,-0.09732106,-0.08175331,0.36258253,-0.274331,0.48503184,-0.13547179,0.2142391,-0.31694293,0.10828289,0.17824607,-0.09034979,-0.45052892,0.13892873,-0.0929402,0.17014536,0.17345348,0.14835244,0.008195147,0.3042574,-0.07600227,0.2158794
P54279,0.47913408,-0.28552073,-0.061136592,0.22266291,-0.039088063,0.07125705,0.09997673,0.011778858,0.013568625,0.41810146,0.1109005,-0.11573425,0.17679106,0.33243278,-0.028560497,0.2093058,-0.073051594,-0.18953748,-0.12888166,0.17101058,-0.106552094,-0.13396437,-0.22963367,-0.13374229,-0.06056133,-0.06946881,0.18642694,0.11107965,0.042634696,-0.040037483,0.109419554,0.27808595
P07288,-0.7271332,0.20593369,0.102429,-0.15831788,0.040689074,-0.2652205,-0.20831871,0.27133754,0.081256896,0.7998029,-0.19311705,0.09006274,-0.2645203,-0.015431672,0.29069,-0.5356079,-0.15269537,0.078043476,-0.1257801,-0.30592966,-0.17096974,0.13421226,0.20206322,0.13227516,-0.026229382,-0.32653058,0.067560285,0.0291332,0.094725296,-0.6976729,0.051641546,0.31161642
P13686,-0.18271464,0.012471333,-0.12677775,-0.22307579,-0.11353732,-0.25220957,-0.18172702,0.42491427,0.09675439,0.012107521,0.033830978,-0.0042256564,-0.33793783,-0.04702191,0.47569466,-0.20455347,-0.07268193,-0.43931338,-0.39901876,0.00011279434,-0.012948528,0.20260093,-0.01194382,0.08745824,0.02860234,-0.00026101992,0.08935541,-0.109084904,0.25549984,-0.19867988,-0.14175856,0.29798806
O94316,0.4165861,-0.19699116,-0.0676588,-0.02149873,0.120880894,-0.00643415,0.026938334,-0.12982059,0.20483945,0.44409874,0.119818725,-0.13074616,0.11259881,0.35846505,-0.10656848,0.30768722,-0.18339711,0.024614323,0.046997823,0.05119372,0.087746724,-0.054961056,-0.38993534,0.0076812785,-0.07861781,0.014710914,0.1270749,0.120765954,-0.011201486,-0.012613907,-0.11665538,0.06652093
Q12309,0.37265307,-0.4381836,-0.25398353,-0.706292,-0.2426576,-0.20488653,-0.033572815,-0.23716545,0.1944635,0.21837425,0.31095523,0.009210229,0.21375963,0.28912637,-0.49150142,0.020675093,-0.008797299,-0.058239844,0.059585072,0.40282044,0.21544142,-0.27890036,-0.046726007,-0.17732404,-0.08930583,0.15453249,0.09305996,-0.32161337,0.37967795,-0.32512635,-0.13647911,-0.3086161
P23872,-0.19076192,-0.0705221,-0.14626952,-0.22938587,-0.30476424,-0.054335803,-0.14343332,0.1892492,0.1742763,-0.01231885,0.0656508,-0.021493852,-0.51808923,-0.10252367,0.44853052,-0.33999312,-0.41528141,-0.42063957,-0.46417361,0.35619542,0.030350372,0.15526655,0.03180976,0.08549008,0.036345825,0.40883923,-0.017359763,-0.42715624,-0.033624634,-0.21033724,-0.46349865,-0.055193797
P02686,0.2561046,0.44714642,0.11207552,0.41029716,0.05849374,-0.25989613,0.087654695,0.14579111,-0.21798949,-0.19524567,0.25820354,0.093199715,0.34848082,0.32779282,0.1391316,0.09890728,-0.042633902,-0.65311944,0.04863114,-0.35632023,-0.38175678,-0.073976025,-0.096883565,0.06269256,-0.020765439,-0.08233167,0.22799563,0.50031924,0.16817807,-0.064645216,0.16340119,-0.107776284
P02747,-0.062015966,0.28757638,0.15620257,0.05955801,0.09048567,-0.30816367,-0.18380696,0.33035284,-0.091042325,0.24924806,-0.11135597,0.27021885,-0.07180625,-0.12987337,0.05645513,-0.4233356,-0.00041454285,0.03554808,-0.46469918,-0.18157992,-0.11964129,-0.13948935,0.5111501,-0.38030618,-0.06937641,-0.010524165,0.13119972,0.43376386,-0.3266483,-0.25446683,0.0952858,0.33408058
Q15428,0.28557068,-0.19133906,0.13690053,0.38648108,0.0770553,0.13237192,-0.029135697,-0.005203422,-0.15258932,-0.59763294,0.2925592,0.052046403,0.1518176,0.57404155,0.5010173,0.3581258,-0.2563014,-0.47908184,-0.4954607,-0.22359958,-0.30845055,0.04075539,0.6603818,-0.37972778,0.10916421,0.4553143,0.020368561,0.21249595,-0.48641425,-0.00072960556,-0.12648937,-0.009284928
O95429,0.50935096,0.012177259,0.16690518,0.33304137,-0.023428105,-0.27374557,-0.11786448,-0.08441362,0.10971871,-0.36901775,0.41298786,0.020040303,-0.2099988,0.52554005,0.38070363,-0.022081733,-0.005693976,-0.20507328,-0.31834498,-0.43493953,-0.27021778,-0.23412484,0.22254138,-0.28673583,0.07351665,0.3726696,0.53336304,0.5305865,-0.14215502,-0.37341607,0.07611333,-0.1085102
P0AFW0,0.47262394,0.5401612,-0.25133076,0.24352558,-0.22002754,-0.09624812,-0.2426516,0.23780327,-0.17896822,0.19628355,-0.323939,0.26727733,-0.11092095,-0.23472041,-0.050781928,-0.11836527,-0.15474029,-0.09275967,-0.24971491,0.032290526,0.24523391,-0.07739985,-0.35658875,0.2399695,-0.23551136,0.036186453,0.039010078,0.25104368,-0.36021772,0.055561528,-0.2654231,0.16405915
P06821,-0.17544776,1.2059723,-0.10439219,0.33398527,0.12998748,-0.29648486,0.035558075,0.14791389,0.073806524,0.37346533,-0.02970808,0.07764559,0.054709915,-0.3804136,-0.23123863,-0.45536035,-0.18587479,-0.07683395,-0.13119224,-0.12291177,-0.146618,-0.4175888,-0.2500873,0.1270098,-0.057234347,0.062205974,0.13260871,0.26334974,-0.242008,0.15389831,-0.11298779,0.118200585
O08807,-0.14955105,0.19912419,-0.10063715,0.018000776,-0.18038958,-0.25501856,-0.15801351,0.539721,0.005312592,0.013287455,0.05498498,-0.15002441,-0.08729319,-0.10213423,0.17734358,-0.048997253,-0.04200604,-0.6541393,-0.43029156,0.12087452,0.1732849,0.14014667,-0.078091085,-0.029882843,0.06996956,0.04176617,0.2324034,0.17247799,0.22653659,-0.16888155,-0.055307418,0.14589612
Q7NBZ0,0.33689576,-0.43566537,0.044713367,-0.37915924,-0.12537333,0.11219378,-0.08449106,-0.032693014,-0.14612122,0.12351897,0.17639029,-0.037649706,-0.38526028,0.08110341,0.03200739,0.3243251,0.07029028,0.22890908,0.24800435,0.16556868,0.0863678,0.30906165,-0.67032117,-0.088276595,-0.08820668,-0.098443866,0.19246793,-0.50760806,-0.1767528,0.027610868,-0.06875247,0.12951563
O94913,0.44521016,-0.33701336,0.46343824,0.5008862,-0.018949218,0.20627534,0.16686101,-0.029615898,-0.24680442,0.07436928,0.17007181,0.006852895,0.6249237,0.26577416,-0.27704296,0.42813623,0.120873466,-0.480571,0.07912309,-0.19513199,-0.40777868,-0.07243773,-0.2027304,-0.12303,0.039797597,0.14067796,0.3305394,0.1515081,-0.023708463,-0.043538198,0.24320427,-0.10748091
P16333,0.15378128,0.072006576,0.17117792,-0.10436738,0.024770014,-0.08202307,-0.11860079,0.17989443,-0.07422118,0.50405693,-0.10034143,0.29097167,0.10400516,0.14056179,-0.15593833,-0.08578004,-0.15460008,-0.14618966,-0.10522165,0.074116364,0.21854897,0.14371747,0.24225645,-0.41532707,-0.32091185,-0.082883656,0.15257892,0.061969697,-0.23759773,-0.25629467,-0.24865091,0.07465769
A8I4E9,0.5178854,-0.55275095,-0.004039604,-0.26052275,0.09435368,-0.08384377,0.12481332,-0.4819249,0.13763209,-0.10090497,0.044657543,-0.075855106,0.6741969,0.07424966,0.060253754,0.22652207,0.16309212,-0.06483045,0.16191405,-0.20677072,-0.087215364,0.008697808,0.15739305,0.11615531,-0.0664905,0.08188814,-0.4804053,0.25546366,0.40124655,0.3690229,-0.17684537,-0.17402665
Q92890,0.47246635,0.39757228,0.14377403,0.24660988,0.023964748,-0.13035187,0.015093476,0.0994415,-0.1998979,0.16365439,-0.04132373,0.1899681,0.19102916,0.22145906,-0.21680549,0.1471673,-0.15643626,-0.28092608,-0.119638,-0.06801828,-0.057726737,-0.0073728114,-0.21083331,0.027718091,-0.20987475,-0.06633341,0.17950737,0.33378288,-0.06763755,0.104420245,-0.058083117,0.034266025
P0DTD2,0.032101527,0.60145193,-0.1564301,0.27148262,0.07151229,-0.08522296,-0.16985275,0.24095123,-0.025941573,0.15193126,-0.24393019,0.0002425909,0.13142174,-0.7949365,-0.07230278,-0.329944,-0.033316627,-0.24003679,-0.0041060373,-0.1681231,-0.002005443,-0.1609125,-0.2953029,0.25839257,-0.059236452,0.22841558,-0.27854243,0.38791215,-0.24357437,0.13266076,-0.07649359,-0.07326744
O62479,0.53893733,-0.4367395,0.13871643,-0.14451419,-0.06766177,-0.082898214,0.12526366,-0.26837578,0.016348764,0.29261073,0.107142836,0.024846181,0.61533684,0.07444959,-0.32560533,0.12827983,0.20030537,-0.2792444,0.07784317,-0.043104924,-0.10577022,-0.1580815,-0.16017096,-0.09872763,-0.024559915,0.01297665,-0.019211069,-0.017369568,0.31665695,-0.05662936,-0.029097557,-0.060540907
P47017,0.08922975,0.77530265,0.051159624,0.09440826,-0.03812814,-0.3519521,-0.1699669,0.20845027,-0.061923355,0.25684777,-0.19716507,0.0786437,-0.014959745,-0.34050238,-0.33307713,-0.077529326,-0.05353373,-0.19382593,-0.10271337,0.12835798,0.11713654,-0.0433401,-0.18761413,-0.015614631,-0.20671478,0.28412274,0.17583352,0.28419676,-0.34021986,0.0556951,-0.2942466,-0.20199718
P00812,0.07204272,0.22597647,0.06839447,0.0497052,0.031528555,-0.18890175,-0.08625139,0.13103193,0.07249479,0.03602244,-0.12113126,0.08976707,-0.15352099,-0.2319954,0.3057753,-0.16179676,-0.017205346,0.038364913,-0.046755306,0.34821588,0.07460466,0.20255977,-0.39192033,-0.063398786,-0.076561704,0.14109841,0.2165758,0.085487485,0.16281624,0.38220692,0.027632639,0.09124684
Q28399,-0.1549896,-0.37859964,0.19333072,-0.3426033,-0.09881658,-0.054330677,0.07857235,-0.2738533,-0.018161938,0.20393315,-0.12239493,0.12604001,-0.18459238,0.0865107,0.7766034,0.35308003,0.06226026,0.09481688,-0.10861958,0.5611282,-0.15137832,0.4958768,-0.5340517,-0.23277965,0.15540403,-0.1499141,0.01085332,-0.45897868,-0.117617816,0.25845087,-0.044624284,0.082768574
P36969,-0.7199393,0.1310336,0.20548643,-0.22880846,0.20035148,-0.1910184,-0.16398983,0.5387065,0.13671724,0.3253811,-0.14120084,-0.032516092,0.020109683,-0.5402554,0.30589163,-0.38448238,0.08012009,-0.51038206,-0.19243354,0.05518543,0.032006115,0.31037703,0.23173253,-0.34872735,0.08231837,0.16126698,-0.10345216,0.062089473,0.23850216,-0.22832027,0.026402503,0.14846937
P09041,0.39608306,-0.178804,0.20436953,0.070826456,0.05675731,0.05597245,0.015875824,0.14667313,-0.14663212,-0.12314588,-0.1498293,0.015410855,-0.09705128,-0.3356459,0.036255717,0.16204697,0.11448543,0.19363822,0.06259801,0.37386152,-0.31858334,0.17701325,-0.43792957,-0.034879595,-0.045248523,0.13969696,0.05881712,0.23311648,-0.044993177,0.5690357,0.2785321,0.14540116
A0A0H2US80,0.051407114,-0.105256364,0.07714532,0.0054273102,0.23345897,0.023590423,-0.028453372,0.27252024,0.013524696,-0.22490558,-0.2609295,0.03547159,0.12624417,-0.5370548,0.30025893,-0.118250266,-0.04625165,0.123584196,0.091362976,0.12904726,-0.10880889,0.23324943,-0.50125825,0.058161907,0.109635405,0.271668,-0.041186035,0.32874256,-0.03125412,0.38482445,0.2224701,0.10288839
O09061,0.41879863,0.43280423,-0.16124646,0.2014076,-0.100689285,-0.19567245,-0.16929281,0.17575148,-0.024515972,0.030020818,-0.25654054,0.19105422,-0.110554755,-0.3532365,0.16029972,-0.15675847,-0.066313386,0.0040974803,-0.22231051,0.22919592,-0.058707464,-0.12696494,-0.29489344,0.1583951,-0.21444148,0.081585854,0.017519861,0.43536967,-0.13552842,0.32206357,-0.009208962,0.09923358
Q9GZM8,0.41475046,0.0034850687,0.07544905,0.24767698,0.005885601,-0.114120156,0.22433148,-0.32354176,0.005291626,0.31549117,0.31033155,0.040626526,0.31474632,-0.026519388,0.105981015,-0.4499368,0.072306156,-0.49683294,0.09719194,-0.23684648,-0.2925322,-0.21412013,-0.011909517,-0.0035056267,-0.10276386,-0.10713464,-0.06647391,0.050074965,0.4830172,-0.09815554,0.09873645,-0.04331854
P0ABV6,-0.69333875,0.00015106797,0.119954795,-0.067618094,-0.17250794,-0.21311298,-0.2439202,0.4881392,0.2559963,0.27998674,-0.21595767,0.0637279,0.1791506,-0.3546747,0.42470288,-0.21545275,0.10641077,-0.647684,0.2440094,0.13210294,-0.17443316,0.2962339,0.076424986,-0.04231295,0.06706725,-0.15125136,-0.070911765,0.23147163,0.45503587,-0.43629688,-0.07056156,-0.205833
P01225,-0.23472682,0.92212754,0.0041047633,0.1512074,0.23190096,-0.23991328,-0.116543144,0.3888663,0.092960045,0.38232473,-0.0730283,0.084313974,-0.1792325,-0.50336456,-0.29618138,-0.48529667,0.013608497,0.20803538,-0.6563522,-0.20909947,0.08999947,-0.4236158,0.01676457,-0.08203952,-0.020979732,0.067139745,0.23314065,0.08324045,-0.3664822,0.2051572,0.04011962,0.47658283
A2ABV5,0.86044604,-0.2574072,-0.24009164,0.08783824,0.058580957,0.1602977,0.071589336,-0.09673506,0.11987673,0.05505076,0.046838284,-0.20166856,0.061058328,0.18783174,0.091712125,0.14206675,-0.14304239,0.049183,-0.16155986,-0.20227012,0.022608139,-0.18863878,-0.28659323,0.3087049,0.0003535226,0.0045051314,-0.27778947,0.25533724,0.20260425,0.09904404,0.009994581,0.28953844
O55164,0.02328308,-0.65377,0.18945606,0.035177395,0.08950605,0.22169955,0.047555372,-0.19890204,0.20625912,0.6353375,0.0016209781,0.15082972,0.3393516,0.21528956,0.34138453,0.07681437,-0.08185812,-0.2210061,0.16741458,0.010964073,-0.088628024,0.14025965,-0.06548311,-0.32044366,-0.03405422,-0.18228161,-0.07139535,-0.08582282,-0.029327944,-0.29998562,-0.063839376,-0.04609082
Q8IXK0,0.7109774,-0.53160685,0.18246214,0.7366246,-0.06500747,0.36287454,0.13054265,-0.23005696,-0.07774325,-0.4427894,0.36366904,0.06318723,-0.075425744,0.09726868,0.5963789,-0.30052638,0.042140435,-0.13339111,-0.3430401,-0.5962105,-0.48575765,-0.33529013,0.19854976,-0.31108335,0.16804759,0.056617584,0.022696361,0.16079855,-0.4462332,-0.12217222,0.16245697,0.16052432
P04049,0.46736902,-0.23075874,-0.04314866,0.010629183,0.1738525,0.11848551,0.09916462,-0.1012477,0.151976,0.5194886,0.14747095,0.1327713,0.025903635,0.42452708,0.17606741,0.056087673,-0.16428474,-0.11465344,-0.124038406,-0.09437495,0.11166312,-0.10683197,-0.21578445,-0.19022079,-0.14955634,-0.16422644,0.08905256,-0.00915502,-0.04737693,-0.2801456,0.007050976,0.14418082
P14859,0.46946305,-0.8387312,0.3439694,0.2824462,-0.056187175,0.3951772,0.1279793,-0.0180002,0.15510689,-0.4720931,0.31264013,-0.0023953915,0.3132583,-0.110486805,0.33172166,0.03977672,0.12305339,-0.30041444,-0.23757842,-0.4021406,-0.30558342,-0.19226965,0.08544962,-0.39303464,0.16478366,0.19973567,0.08430907,-0.17194061,-0.37982273,-0.029676035,-0.06391823,-0.13180648
P21187,0.020812258,-0.50550777,0.42181733,-0.5359478,0.22791848,0.018772945,0.05024241,-0.16924866,0.013534546,0.326801,0.2501975,0.38976455,-0.06850049,0.24534476,0.42414415,0.09520412,0.04220273,-0.014471587,0.2750496,-0.12482419,-0.18630147,0.23745173,0.4367359,-0.5018606,-0.3158135,-0.012565162,-0.11634387,-0.025520682,-0.23795623,-0.4164896,-0.060878754,-0.3328349
O94760,0.43878257,0.23666763,-0.102772,0.205788,0.15843254,0.03824549,-0.033169687,0.09819363,-0.1887785,0.19776288,-0.2012277,0.027727023,0.048806004,-0.3149737,-0.006151162,-0.23641221,-0.13768603,0.06890039,-0.031660847,-0.07604935,-0.067083165,-0.036126986,-0.19466908,0.24199535,-0.19597292,0.037558977,-0.22374102,0.37707263,0.0105095655,0.19256298,0.20456484,0.2059832
I7MG78,0.80364066,-0.0021146387,-0.19680205,-0.1271136,-0.25192913,-0.12798887,-0.080593385,-0.011165258,0.1034314,-0.15921639,0.03049089,-0.21192652,-0.2169636,0.22129008,-0.11762946,0.4015128,-0.1534323,0.14965472,-0.28370783,0.20189866,-0.009420082,-0.16580993,-0.5459377,0.26183075,-0.030479178,0.1854077,0.17160785,0.18824172,-0.0780746,0.15019952,-0.19663495,0.1347539
P17256,0.16967721,-0.16306533,-0.29943568,0.118468426,-0.23459682,-0.00043592602,-0.053789258,0.13009258,-0.06140247,-0.05399151,-0.04448294,-0.100016475,-0.3809502,-0.14687301,0.58799016,-0.22045068,-0.070551276,-0.020645302,-0.12617022,0.26380092,-0.036274135,0.20527852,-0.32799256,0.2408246,0.03796324,0.048479553,0.014216006,-0.1701608,0.092205554,0.21466558,-0.06692518,0.33857113
P09546,0.77016944,-0.44621986,-0.36360344,-0.10069276,-0.44118014,-0.05957997,-0.047687553,-0.16465658,0.17470156,-0.24354056,-0.003091976,-0.25591573,-0.17571802,0.13987102,0.16865411,0.2335884,-0.1435405,0.020002939,-0.2849317,0.25784448,-0.044796348,-0.11494391,-0.24510957,0.23073433,0.057584092,0.14485513,-0.17018759,0.31208864,-0.020660214,0.15739094,-0.34157044,0.053280026
O14960,-0.40041268,0.5514106,0.21077983,-0.27637592,0.116525866,-0.08453968,-0.2641948,0.6486117,-0.017830431,0.41566804,-0.013787277,0.49261636,-0.3215328,-0.59168017,0.06408659,-0.3808573,0.14000323,-0.1253937,-0.41981122,-0.30909124,0.035581775,-0.17342682,0.066779986,-0.2663472,-0.12791032,-0.32059208,-0.08207729,-0.02576498,-0.25038683,-0.2059978,0.13382554,0.3900209
O59734,-0.22765413,0.7516152,-0.13994485,0.116072275,-0.2895202,0.02133575,-0.23531769,0.42266822,0.032599553,0.6227857,-0.17119381,0.29848048,-0.2837671,-0.55504656,0.001375936,-0.47354895,-0.11482526,-0.44520116,-0.058787085,0.15570843,0.43652874,-0.062261462,-0.16942348,-0.17145361,-0.16555166,0.058914173,-0.005799502,0.18787193,-0.28328624,-0.4346242,-0.32683164,-0.106075756
P42834,0.025236264,0.54112315,-0.103722855,-0.08904623,-0.17594892,-0.377366,-0.19144589,0.34833348,0.0973597,0.04418993,0.10149694,-0.1639826,-0.1770616,-0.3057325,-0.1683937,0.058665074,-0.099766314,-0.36387438,0.04066222,0.16969857,-0.049626242,-0.099030375,-0.28820148,0.29232913,-0.15306744,0.0799727,0.064147174,0.13446799,-0.012631804,-0.06575478,-0.23466498,-0.34467947
