accession_code,ESM_64_dim_0,ESM_64_dim_1,ESM_64_dim_2,ESM_64_dim_3,ESM_64_dim_4,ESM_64_dim_5,ESM_64_dim_6,ESM_64_dim_7,ESM_64_dim_8,ESM_64_dim_9,ESM_64_dim_10,ESM_64_dim_11,ESM_64_dim_12,ESM_64_dim_13,ESM_64_dim_14,ESM_64_dim_15,ESM_64_dim_16,ESM_64_dim_17,ESM_64_dim_18,ESM_64_dim_19,ESM_64_dim_20,ESM_64_dim_21,ESM_64_dim_22,ESM_64_dim_23,ESM_64_dim_24,ESM_64_dim_25,ESM_64_dim_26,ESM_64_dim_27,ESM_64_dim_28,ESM_64_dim_29,ESM_64_dim_30,ESM_64_dim_31,ESM_64_dim_32,ESM_64_dim_33,ESM_64_dim_34,ESM_64_dim_35,ESM_64_dim_36,ESM_64_dim_37,ESM_64_dim_38,ESM_64_dim_39,ESM_64_dim_40,ESM_64_dim_41,ESM_64_dim_42,ESM_64_dim_43,ESM_64_dim_44,ESM_64_dim_45,ESM_64_dim_46,ESM_64_dim_47,ESM_64_dim_48,ESM_64_dim_49,ESM_64_dim_50,ESM_64_dim_51,ESM_64_dim_52,ESM_64_dim_53,ESM_64_dim_54,ESM_64_dim_55,ESM_64_dim_56,ESM_64_dim_57,ESM_64_dim_58,ESM_64_dim_59,ESM_64_dim_60,ESM_64_dim_61,ESM_64_dim_62,ESM_64_dim_63
O76095,0.031255152,0.06769181,0.02373618,0.0074389055,-0.10906811,-0.052159075,0.2742145,-0.08431479,-0.092069246,-0.2304756,-0.12816489,0.07185066,0.10339198,-0.5507628,0.07961488,-0.061324824,-0.02449818,0.418236,-0.2290688,-0.11791516,0.07877049,-0.06349339,0.014367782,-0.03068287,-0.033844113,0.21742418,0.04434924,0.16975681,0.037461214,-0.008367948,-0.009650193,-0.27310967,-0.085086346,0.2600937,-0.08652583,-0.12377639,-0.22186269,-0.10061679,0.08905162,-0.19579591,-0.02115093,0.36025926,-0.019550884,-0.12161599,-0.037727837,-0.31629115,0.028770078,0.18729511,-0.1384285,0.0031974092,-0.019318223,-0.2393871,-0.0182737,-0.2348639,0.1521039,0.047743045,0.19244972,0.032463737,-0.49327442,-0.2861712,0.22072883,-0.34188956,-0.10523896,-0.2052912
Q6GIL6,0.0995122,-0.07483931,-0.1941069,-0.108668186,0.21638389,-0.20383961,-0.15081228,-0.068186566,-0.09417655,-0.10005333,-0.2672919,0.25208715,-0.07632767,-0.41665158,0.0856869,-0.08283134,-0.08511405,-0.17091353,-0.11283325,-0.06474243,-0.061178423,0.21274918,0.13506837,0.16912013,0.09962278,0.07958416,-0.22308995,0.08499635,0.55053717,-0.07150007,0.13875696,-0.25752902,0.11313371,0.19588502,-0.24433315,-0.07750707,-0.06680521,-0.03806401,-0.45337856,0.007135719,-0.040448733,-0.14802592,0.2171672,-0.0109415315,-0.071245484,0.15962999,-0.08309091,0.2650356,-0.17018773,0.14441402,-0.17448641,-0.26495597,-0.16190727,-0.15661074,0.03694951,-0.06233176,-0.5072458,0.06537354,-0.14207757,0.10941211,-0.09838333,-0.055986002,0.16145635,0.28898174
P63159,-0.11826712,-0.38124275,0.0034369174,0.17307901,0.602365,0.063098826,0.5273918,-0.110895276,0.024817012,0.08690829,-0.21516171,-0.118882716,0.16119933,0.093477696,0.12626559,-0.40035728,-0.019679591,0.23242989,-0.03966921,-0.3679044,-0.17980815,-0.24289063,-0.40587717,0.34504747,-0.15184489,-0.04439409,-0.32116705,-0.37441888,0.15313147,-0.19284663,-0.15172526,-0.06888381,-0.15383922,-0.18627806,-0.11004585,-0.18843076,0.22576888,-0.2831336,0.44092554,-0.0061235577,-0.07076783,-0.17513601,-0.019476395,0.14676686,0.25255942,-0.0180533,0.09400311,0.2799749,-0.26678088,0.27508664,-0.2926635,-0.036933556,-0.15111843,-0.36087397,-0.13948333,0.013579197,-0.49035263,-0.20156763,0.14070642,-0.012603432,-0.24604857,-0.19332606,-0.5175134,0.53376204
P46527,-0.06405939,0.022811458,-0.08977131,-0.020512097,0.2912408,-0.107564285,0.06135284,-0.33801538,-0.031291924,0.2608076,0.09555523,-0.14952709,0.07865993,0.10428758,-0.012281001,-0.13411924,0.1127309,0.2334462,-0.09495408,-0.0876653,0.063803196,0.2335101,0.051908117,0.32890233,0.030962653,0.017510056,0.40318412,0.0905209,-0.20464219,-0.0854912,-0.032435216,-0.123107806,-0.06902644,-0.19959523,0.2037797,0.0067383945,-0.07162383,0.091370754,0.18838364,-0.19356515,-0.08770643,0.30163327,-0.07403003,0.036986478,-0.15297802,-0.18169732,-0.13670844,0.100472726,0.038017746,-0.09842224,-0.07614648,-0.023366516,0.02322847,0.018438868,0.007950325,0.16902694,-0.18400393,-0.026028976,-0.3122575,-0.23140682,0.18536891,-0.2282215,-0.004063662,0.24224433
P13721,0.12946203,0.08976604,0.14934918,0.15601398,-0.14300276,0.0013393918,0.04443635,0.35688603,-0.17373168,-0.13318664,-0.098725244,0.02929287,0.13741712,0.09036842,-0.13618656,0.2804986,0.14351255,0.10016808,-0.18017012,-0.08179493,0.005205434,0.037423074,0.06650334,-0.13685545,0.084169045,0.15993458,0.33710456,-0.028514562,0.07514613,-0.14954016,-0.009134002,0.091947764,0.08376306,0.00076986104,0.2758577,0.12860197,0.09401423,0.074104406,-0.014386639,-0.02556324,-0.051816046,0.0653415,0.04356449,-0.15334593,0.11588447,0.073179744,0.04639561,0.32694685,0.26141393,-0.1051214,-0.22327417,-0.19777764,0.033464994,-0.08932495,-0.06785646,-0.1546405,0.15504982,-0.10642991,-0.26047254,-0.169575,0.023931593,-0.00023633055,0.02918313,0.0691814
P10645,0.11867948,0.06146705,-0.0749612,0.10327676,0.27182743,0.018852882,0.4261266,-0.10853279,-0.07132416,-0.42743993,0.24137515,-0.07883349,0.05144467,0.06529911,0.29234415,-0.1561393,0.12775525,0.17296441,-0.015537143,-0.19468136,-0.19583514,-0.0567048,-0.21555242,-0.14592463,0.09665623,0.49033874,-0.044648916,0.31820726,-0.11750675,0.077734835,-0.37799618,0.110340364,0.042345904,-0.122470394,0.08861554,-0.14558285,0.32158083,-0.21010669,0.5225071,0.056296676,0.55847573,-0.09811643,0.044292115,-0.41969466,0.14501503,0.03839638,0.0687382,-0.078613296,-0.14764398,-0.38355428,0.058043808,-0.37787688,0.09461157,-0.045306027,0.11656284,-0.37020203,0.20472044,-0.5410249,-0.103457615,-0.014175564,-0.15723573,-0.034100786,-0.16547638,0.00200155
P60411,-0.30703753,-0.5296398,0.092402495,0.2482608,0.25712797,0.4750504,-0.2370262,-0.37003428,-0.64887214,0.29859367,-0.16165155,-0.15928286,-0.6621281,-0.16765027,0.038435668,0.20675781,0.4375059,-0.025479961,-0.14592236,0.30697665,0.009627763,0.16518587,-0.24252242,0.08746264,-0.1356405,0.006983973,0.36106235,0.27874452,-0.45635423,-0.118976675,0.06348646,-0.10955261,0.23469779,0.73385,0.14552051,-0.27979594,-0.019687492,-0.46149755,0.14545646,0.522377,-0.4506547,0.1709214,-0.0034017805,0.23724753,-0.54329497,-0.47479343,0.56739575,-0.41678098,0.2927637,0.15193884,-0.12085837,0.34097555,0.18632655,0.18015328,-0.11131112,0.8055895,-0.010858227,0.36393803,-0.0652031,0.48833364,0.16182138,-0.06274016,0.044589955,-0.061177272
Q9BPZ3,-0.060684614,-0.060769387,-0.059069127,-0.13160884,0.10561474,-0.36515564,0.054132998,-0.009228099,0.016589,0.24829999,-0.14025246,-0.14543661,-0.053369265,-0.1509147,0.40937537,-0.12794878,0.06092329,0.23917644,-0.07304244,0.09107997,0.25995034,-0.15950261,0.10153878,0.008216187,0.1426613,-0.018320896,0.29906636,0.053727113,-0.22670235,-0.04124049,-0.1430591,-0.3917848,0.15716282,-0.06657431,-0.09449103,0.27847618,-0.27176908,0.0551048,-0.08063237,-0.06656101,-0.08289492,0.08989169,0.37580943,-0.07395406,0.17106482,-0.3546711,0.012987353,0.52313405,-0.052000333,0.1252258,-0.37294978,-0.09287883,0.12374553,-0.31054297,-0.2403545,0.045965947,-0.020020358,0.14742985,-0.32419863,-0.28154463,-0.07597509,0.04134939,-0.099154055,0.29171664
Q8IZH2,0.22301076,0.17732023,0.0828303,0.17695498,-0.16774197,0.08530224,0.32853338,0.19201776,-0.0070234984,-0.24965447,0.037735417,0.077163145,0.14537697,0.19783159,-0.09851493,0.2158839,0.15039031,-0.04250579,-0.11436017,0.055048354,0.03227826,-0.11769558,0.0074929595,0.016378649,-0.008678831,-0.106203616,0.28696412,-0.10210731,0.14910698,-0.0068553016,-0.02645845,0.23074938,0.016016144,-0.02796796,0.3316798,0.21978363,0.08268237,0.21791399,-0.05564797,-0.08145335,-0.106916286,0.041992728,0.115733854,0.057946302,0.22103786,-0.04455347,-0.110835575,0.34137306,0.106833436,-0.1576537,-0.23590998,0.17597298,0.17812522,-0.057205196,0.101192474,-0.2233102,0.098781645,-0.23447865,-0.21449356,-0.29812354,-0.09265149,-0.01899513,-0.05067564,-0.017901871
P54279,0.12807308,0.07651684,0.112040736,0.09918075,-0.092904225,0.17562161,0.07791859,-0.012847435,-0.20181619,-0.08147902,0.05520636,-0.0037235208,0.068202205,0.07276291,-0.1442772,0.20169412,0.038515292,0.07358959,-0.33813506,-0.018372344,-0.0454414,0.056011334,0.024549536,-0.014001377,-0.2673972,0.0324544,0.15737872,0.15055121,0.27732104,0.007889956,-0.06739609,0.12604977,-0.09240587,0.029296048,0.3429461,-0.20360306,-0.039138917,0.010037461,0.00010834634,-0.026919141,0.10838048,0.07514055,-0.011142217,-0.016134612,-0.06085947,0.08905542,-0.2662934,-0.12633458,0.102219455,-0.40280354,-0.09870532,0.06799538,0.21349238,0.14143017,-0.026520543,-0.17056185,0.064956635,-0.079615824,-0.09875404,0.08771842,-0.09833595,-0.0060829613,0.048519727,-0.17802279
P07288,-0.040333614,-0.18332858,0.2343311,-0.08701942,0.25450537,-0.1553642,-0.10450314,-0.055561934,-0.21782619,-0.33044598,-0.15831059,-0.10936776,0.08128944,-0.43291053,0.12879191,-0.31970203,-0.33966696,0.23023903,-0.24088095,0.06357333,-0.09486012,-0.19449541,0.12642515,0.01979164,-0.05263248,0.14849141,0.024249122,0.13612272,0.39389408,-0.02533286,0.22634551,-0.42568296,-0.5317211,-0.14655235,-0.493947,-0.08491655,-0.408104,0.34899452,-0.08735044,0.48453623,0.14975251,0.12654494,0.22949097,-0.29968634,-0.12428234,0.023588877,0.27996057,-0.024541851,0.17563786,0.20254858,0.003457494,-0.24855208,-0.17604385,-0.15417853,-0.38834423,0.1859334,0.17121547,0.16844422,0.10312805,0.24068873,0.25314242,0.36111814,-0.1303621,0.024110798
P13686,-0.12828651,0.017400153,0.05265958,0.03640019,0.21124642,-0.115843475,-0.26761514,0.032596257,-0.21598661,-0.02715154,-0.035607494,0.10382183,0.13780518,-0.07036877,-0.01858908,-0.038877122,-0.22883777,-0.06473261,-0.017808467,0.025898045,-0.07222317,0.18368384,0.05922926,-0.02779447,0.26746395,0.19804515,0.04798992,0.016426718,0.30888268,-0.23729974,0.10363949,-0.0203892,-0.02907798,-0.13626575,-0.123450644,0.14891446,0.005045276,0.20534171,-0.032720923,0.24529624,-0.06135896,-0.00089226663,-0.2414872,-0.046348963,0.1241442,0.28255263,0.15750128,-0.040001635,0.19164383,-0.006040089,-0.097235896,-0.41538748,-0.20657273,-0.08561325,-0.19487275,0.110487774,-0.043126293,0.12261462,0.17571534,0.031299163,0.2289287,0.1030796,0.30824348,0.19963872
O94316,-0.107278645,0.017650872,0.13789967,-0.11035646,-0.097367,0.14605239,0.26365983,-0.033282354,-0.044517405,-0.006435789,0.12509504,0.034493994,0.08889226,0.1367475,-0.13183586,0.0143160485,0.020978048,-0.045474928,-0.18884434,0.2568657,0.039995942,-0.25962156,-0.034954943,-0.06808073,-0.22011515,-0.09014517,0.09316589,0.07125352,0.26669282,0.11006669,-0.17617944,0.16278267,-0.07377747,-0.14362684,0.24448939,0.013877325,-0.17481165,0.19316514,0.11074437,0.09633351,-0.052920736,-0.061578043,0.05233729,-0.012721799,0.1335657,0.05509643,-0.4158917,-0.03811265,0.002489592,-0.26548123,-0.17264709,0.123632975,0.2745342,-0.13868427,-0.13277608,-0.4269327,0.04512516,0.024172544,-0.081157,-0.057176054,-0.13525347,-0.030880693,0.0577241,-0.13723402
Q12309,-0.045544147,-0.04623329,-0.013756359,-0.00418929,-0.48730433,0.012747896,0.1254526,0.24652883,0.036164857,-0.26608333,0.13909256,0.20688565,0.12877937,-0.06513095,0.27775204,0.111672014,0.13645495,0.05992761,0.23101686,0.3234777,0.0688221,-0.30026522,-0.11411945,-0.09734614,-0.21751499,0.025275253,-0.15858203,-0.09274415,-0.23746385,0.095677234,0.19373003,0.06911802,-0.14575544,0.18664204,-0.017880473,-0.056313906,0.19168554,0.2826181,-0.08942421,0.053338207,-0.23044215,-0.29663974,0.009089097,0.15507111,-0.07017446,-0.10101986,-0.0014589876,-0.102822155,-0.19177042,-0.2300121,-0.39099234,0.3729068,0.2884078,-0.151009,0.03905019,-0.046780027,0.024618935,0.107823566,0.21035564,-0.2049786,-0.054314308,-0.023924442,-0.13579865,-0.11721146
P23872,-0.14622271,-0.021969948,0.09773087,-0.0460475,0.18828894,-0.093384355,-0.5630059,-0.15228279,-0.25487167,0.13206887,-0.10109645,0.13577084,0.00601347,0.072971,-0.0014086068,-0.23340276,-0.36758196,-0.014181317,0.12626559,0.23351339,-0.18669792,0.18061492,0.14919585,-0.16172168,0.20560995,0.07443037,-0.21563177,0.047244966,0.24449177,-0.27755168,-0.06842035,-0.09900583,0.21016604,0.24305405,0.06413746,0.24199265,-0.07667042,0.08653824,-0.05873345,0.088049546,-0.25368732,-0.18117253,-0.19341227,0.09895633,0.06475042,0.6201937,0.08773427,-0.22688782,0.06292471,0.036442973,-0.123665944,-0.25099102,0.16861981,-0.25678483,-0.20942903,0.21090308,-0.17613387,0.33085853,0.25087646,0.14562637,0.02635333,0.022048447,-0.06965555,0.37356105
P02686,0.18743795,-0.095866695,-0.22781394,-0.089440115,0.19828638,-0.15698919,0.19085501,-0.10236618,-0.022695042,0.116102725,0.6135627,-0.24768169,0.016155692,0.30816892,0.10698337,0.13023137,0.07841706,0.011733065,-0.14857191,-0.18286948,-0.08545487,0.110143535,0.1226877,0.057240173,-0.09325686,0.43345714,0.44559133,0.1948948,-0.13015988,0.13908476,-0.03711722,0.22992054,0.06901501,-0.32395735,0.1467923,-0.0072358623,0.18844041,-0.025932921,0.30798492,0.2706703,0.07521117,0.074401006,-0.45202914,0.015785363,0.066045314,-0.10157077,-0.039482325,-0.0067346916,-0.056234438,0.019461486,-0.01265271,-0.10162148,0.050199356,0.04682143,0.18698514,-0.07460516,0.07195993,-0.06977249,-0.101542465,-0.24063604,-0.031638697,-0.1116362,0.036533263,-0.036101073
P02747,-0.18457253,-0.15292841,0.24886146,0.005706258,0.03156082,0.03870891,-0.0033373907,0.050900605,-0.104405,0.039204296,-0.062438227,-0.09038602,-0.14914533,-0.16749795,0.014174774,0.26770625,-0.016160332,0.28047875,-0.37446946,0.27307138,-0.097126454,-0.03029953,-0.06929517,0.092523925,0.13633648,0.16962467,-0.052535452,0.119879395,-0.06452338,-0.24989095,0.11394487,-0.037859462,-0.114271596,-0.062317528,0.056116488,-0.22869414,-0.29770562,-0.24231479,0.16267322,0.14092313,0.07529175,0.37771568,-0.012636451,-0.1341339,-0.2385664,-0.32476744,0.33757424,0.33491555,0.12377525,0.24230908,0.16488448,-0.012366466,-0.20010446,-0.102695815,-0.33656654,0.10415014,0.08947867,0.19051155,-0.108809054,-0.23936822,0.28413904,-0.13086915,0.2804272,-0.093781754
Q15428,-0.08295232,-0.2154163,0.28011766,0.03377151,0.14790957,0.49875075,0.053373933,-0.33882862,-0.10405393,0.19511637,0.13537621,-0.124246314,-0.115339525,0.306662,-0.0747827,-0.13140264,0.2108885,0.04418741,-0.35727412,0.0863904,0.060572553,0.08751341,-0.024023704,-0.011840265,-0.004116982,0.34875953,0.051336005,-0.034168176,-0.50729734,-0.25830075,0.04945806,0.42931718,0.09710398,-0.15401337,0.07737308,-0.11695887,0.17276463,-0.019338377,0.54274446,-0.013190806,-0.093379766,0.21539052,-0.15389755,0.10417266,0.08323644,-0.00945599,0.09395254,-0.18204698,0.05624116,0.10834716,-0.031846337,0.22481132,0.12017177,-0.18994635,0.17096058,0.26768887,-0.2392017,-0.2645021,0.084539756,0.097338736,-0.19689533,0.041951336,0.015474882,-0.04420875
O95429,-0.1714442,-0.24332294,0.2918431,-0.023386627,0.16586353,0.1408266,0.10395537,0.14187075,-0.23312527,-0.11188973,0.34234023,-0.21091533,-0.28385592,0.3689236,0.17093475,-0.029938187,0.17232491,-0.2588756,-0.0994211,-0.228213,-0.2148757,0.17585674,0.010800594,-0.051543124,0.5787948,0.15755405,0.19598468,0.036486328,-0.37458584,0.065784015,-0.34528825,0.43264133,0.2635429,0.16005923,0.13559479,0.07120364,0.3692789,0.041139267,0.22136188,0.10880483,-0.08093087,0.20819978,0.10549838,-0.017258078,0.031392477,0.040990535,-0.120725654,-0.2620524,-0.00852031,-0.23826937,0.025627792,0.083854996,0.17840014,0.02100978,0.10524875,0.20515758,0.21245682,-0.01963992,-0.03286676,0.061102908,0.0008250773,0.23906517,-0.024130434,0.004671514
